mouse6c	mouse6d	mouse1k
108.3992	42.2402	86.23
167.2512	36.2722	137.3373
117.7658	45.7793	112.2504
152.5495	36.0863	130.0906
118.3082	28.7648	99.454
109.5115	35.0325	132.8189
123.1316	38.5037	90.7471
115.5806	37.7407	116.6611
115.5105	30.8248	105.6968
116.5324	32.0299	121.1431
122.3401	24.0702	133.7473
142.4852	33.89	127.6916
117.4425	44.2257	109.7294
35.0535	28.7617	107.817
48.8802	39.8373	138.7722
27.884	33.1883	114.8947
49.0473	37.0496	115.4137
35.9202	36.9792	104.7926
31.177	45.1929	147.4565
48.8764	46.7359	134.0116
31.0675	36.8798	115.5839
27.8432	57.1651	117.535
33.9978	40.4902	133.636
43.3223	42.0502	116.4163
39.215	59.3683	115.4997
57.4322	61.1494	120.3366
39.0243	45.5946	109.523
36.9223	36.2003	122.1238
43.0871	34.1882	124.0677
41.0908	43.3566	122.753
30.7733	36.6	120.9826
41.6844	40.1448	138.2427
70.1054	56.2059	127.9406
48.5116	55.8149	120.0544
48.9199	60.9736	126.4585
61.8854	57.5833	118.479
51.2785	57.8225	115.8945
37.0935	63.1651	121.0603
47.5348	54.9754	109.6663
48.6563	51.2799	121.9544
44.6283	53.462	117.972
78.4188	62.2405	124.7127
82.5586	57.7877	128.4003
73.3851	59.3635	120.6991
69.2034	56.7038	129.5486
48.198	61.9708	132.7883
68.5615	56.5226	128.0344
51.1396	64.7784	126.5941
57.3525	62.1095	112.2106
79.5782	61.1452	118.6578
71.1089	59.0292	111.1905
77.6684	60.2409	113.499
39.1969	55.4421	116.1516
57.5778	59.3239	113.7746
18.2131	58.8293	122.6144
47.9725	56.2224	114.8638
56.1844	56.4861	120.1449
87.4579	56.0693	124.799
54.1364	50.6467	123.5053
57.9043	57.2894	99.9423
46.884	61.0651	124.0355
57.308	59.7242	115.3871
67.4589	48.8411	117.6761
45.7678	60.0112	125.1625
56.9778	58.0558	133.8713
66.889	60.1429	119.4948
51.9579	59.9371	138.7454
50.8666	56.6527	128.6242
55.7385	60.4299	122.2947
45.5335	57.9707	130.3997
50.5627	63.521	124.3729
54.5145	64.3242	112.8899
53.9234	62.796	132.2351
40.2508	64.5667	109.9184
53.0421	57.7688	118.2913
39.5545	58.7908	139.0109
58.8299	58.9243	103.7341
38.994	58.6589	143.1574
53.7038	61.7602	123.5184
44.1882	60.9703	117.6939
43.0719	60.4378	119.6195
56.3102	64.2191	119.2432
50.9066	60.3402	113.1077
58.6728	59.3487	114.2663
56.4984	32.0125	117.6885
48.5334	65.9917	127.9151
45.0682	58.3103	114.4795
57.5241	57.3641	120.5127
49.4585	59.727	106.4255
42.059	61.883	113.7269
53.3984	60.1878	131.218
44.632	59.5937	123.8771
64.737	53.9341	116.9766
57.5434	54.7292	118.6453
62.6287	58.3666	125.5317
50.7585	45.5375	117.9603
50.1386	37.4395	113.1034
66.4417	34.8221	120.8021
51.2658	58.1193	112.5585
53.3095	58.1357	120.213
35.4762	57.8988	117.7965
54.7945	59.2553	105.1894
59.8315	59.4908	124.5545
87.7502	55.3705	122.8936
49.5247	59.3259	116.0807
50.6416	60.3905	122.2491
64.0252	59.6748	123.3486
76.6794	57.0565	125.7687
56.2221	57.4898	120.4271
74.3818	55.4224	98.9656
51.7378	52.823	161.7106
52.6699	58.2559	101.566
48.8103	61.2969	139.6202
51.8193	61.2576	135.9526
49.0118	60.4956	115.6817
48.1887	56.249	102.994
76.8863	59.8131	80.6168
57.6788	54.1079	96.1426
53.6092	58.9042	151.3246
53.255	57.9607	124.7736
57.644	57.3502	139.6825
75.9885	54.505	79.9508
66.8118	51.9772	111.4282
57.3131	45.2682	149.106
68.456	55.7614	138.2882
50.3303	46.9332	80.961
55.2676	54.1914	97.7842
69.986	57.704	155.6422
52.9324	55.5327	128.0641
56.37	50.538	96.6821
55.7755	53.4864	141.3647
48.7339	59.3406	91.5953
55.2062	57.5099	86.1965
71.9806	56.0137	137.514
44.5114	56.647	89.5122
49.3904	62.5063	145.9154
53.7795	55.7102	141.7905
56.5186	59.3295	153.09
47.6716	55.9559	139.1608
64.2535	65.5397	82.8494
48.2339	66.5993	139.868
42.9368	60.5349	154.8885
50.3447	57.654	152.8093
51.8903	54.4117	96.6234
48.0668	52.4546	148.9768
47.2269	50.9274	94.2528
57.0106	44.6265	105.8886
42.1141	54.3415	151.6129
63.7781	50.8626	108.7737
51.4962	60.8153	136.9688
51.5073	44.3685	153.6807
49.894	54.679	132.8992
56.5573	45.0563	151.3931
49.7671	47.1836	125.4524
48.3541	46.792	80.6017
49.5541	48.1697	156.2689
63.5568	46.3058	151.4474
69.8955	39.9514	121.6529
51.989	41.9402	112.9554
70.2191	41.7514	150.4178
90.381	51.7632	151.5262
48.4899	44.8071	145.5976
58.6563	43.369	91.7386
59.3154	38.5886	168.2061
51.1999	42.669	147.9693
60.8875	41.8679	95.5784
51.3648	38.4896	146.6934
63.7755	38.0785	97.3193
156.7582	48.6064	125.6556
164.5039	40.2813	88.5534
166.326	46.4972	111.5668
162.9334	42.0696	95.076
158.2203		91.743
156.6727		85.7998
167.1103		149.5303
167.9495		140.4892
159.8363		116.7738
113.5093		94.8738
49.2374		121.4317
80.1017		113.6866
66.6942		147.3999
48.9944		120.8105
46.2272		96.7726
66.3522		93.4783
57.6553		118.8362
52.0872		161.0545
44.9687		103.3049
		94.3527
		133.4714
		122.4873
		125.7122
		140.2626
		137.8629
		114.7221
		121.6229
		106.8262
		119.1873
		140.9875
		127.3953
		113.4852
		114.0433
		148.8135
		143.409
		120.4046
		155.2633
		135.591
		130.9421
		147.1835
		116.2362
		144.4006
		133.6477
		110.1903
		140.4503
		114.8333
		140.23
		137.5402
		136.9399
		137.5356
		141.8033
		115.7492
		149.9208
		131.2708
		108.0137
		122.3455
		107.5198
		130.453
		167.4054
		129.7089
		113.9672
		135.0759
		108.8488
		123.1168
		128.5046
		108.6225
		105.2352
		163.6268
		167.2196
		162.4597
		163.5642
		155.1639
		164.6451
		152.9898
		131.2079
		144.3167
		144.5997
		142.6241
		98.352
		94.606
		84.868
		64.8654
		77.5685
		75.4788
		75.3457
		72.379
		64.1757
		57.8042
		62.8394
		77.81
		80.9887
		76.2376
		80.2219
		83.3504
		66.0771
		74.3877
		73.2968
		54.1634
		71.1567
		71.981
		56.8597
		72.5319
		53.7994
		69.5568
		105.8535
		66.1508
		62.9609
		74.3779
		37.9464
		36.4557
		94.4957
		122.6423
		119.6692
		99.2641
		102.0744
		87.8586

