e1	mouse0	mouse7	mouse6
1178.009723	1610.327784	2171.59309	1630.212014
522.1815222	2214.618974	1407.523328	2066.548501
289.4326379	1717.075366	1916.303295	2106.886819
277.6675538	1934.733158	5370.916539	2526.688572
4963.921921	2009.198813	3651.102589	2268.98263
4238.01054	1689.731051	1447.505482	4202.858002
2731.25164	2261.572933	433.0996885	4233.797393
2599.376869	1227.739813	379.4555607	4053.299349
2615.554441	1860.679773	751.2032473	3674.990146
2649.020705	1779.538964	864.729275	1714.356143

