mouse1c	mouse1i	mouse1j
56.1148	33.0283	37.0988
41.0447	39.7019	14.258
48.9476	58.9541	45.6707
42.2805	64.2938	45.8341
83.598	76.6227	25.3565
9.6945	31.3336	61.0725
31.5618	45.4556	17.1849
11.7911	130.7052	57.6027
31.0606	112.2344	27.9261
30.3615	35.5522	41.8141
22.3997	39.0139	42.7565
26.9299	52.2118	34.9748
53.6251	51.6554	53.8318
41.4242	34.3434	37.9718
23.0703	69.4527	63.1539
32.1906	25.86	54.6565
26.4711	50.6655	17.2846
27.8691	33.7241	29.2136
25.4321	45.5163	26.2959
34.5427	45.2172	43.8553
55.8599	32.9143	72.1441
40.2564	36.5674	38.8367
17.0258	21.1326	55.5698
13.9663	18.1896	57.3162
31.8528	88.3857	42.6941
29.0949	41.3195	32.5093
20.6638	84.2563	49.3087
29.9106	47.8939	34.7623
21.9831	39.274	37.8315
27.4709	91.1848	51.0626
18.6801	109.0341	17.6655
15.398	84.2094	17.0589
23.8719	61.9777	16.2678
23.5681	49.5466	24.2892
28.3505	60.8414	25.6058
52.906	24.3424	45.9904
25.3704	44.9545	9.5676
34.1109	18.6499	36.6997
19.1294	36.7552	28.6476
25.7051	19.6237	44.3128
28.1339	71.5095	21.8674
34.3873	62.2281	17.5531
15.2137	23.7184	25.849
28.3796	25.7747	22.6091
58.0595	8.78	14.5591
16.8001	58.1561	18.6196
50.4814	65.6905	26.841
20.7012	94.6725	59.2159
25.9419	42.4803	19.861
21.7072	48.9719	14.0886
31.563	80.2443	30.1478
24.1985	84.596	35.5052
19.1364	91.765	38.6618
43.3769	41.2243	38.1399
25.132	38.611	54.3736
21.9587	85.9762	32.0156
64.39	34.5306	36.1391
38.1752	41.7271	27.1868
21.5217	26.8642	20.842
41.8931	54.1531	26.7922
21.846	59.9415	22.7421
34.3428	33.9295	43.6061
57.5452	43.3365	17.6963
20.4787	141.3196	37.4987
14.4654	48.7004	31.5528
32.4022	43.0497	19.0338
33.7302	23.8221	27.4959
38.4817	74.9808	68.1827
49.5487	73.5608	23.0537
28.3243	81.6601	14.1962
19.5783	97.0226	13.6073
32.6781	70.725	23.0745
52.5462	52.149	49.4124
31.0509	48.6222	33.3637
54.8138	91.8362	30.6033
26.9436	66.4447	41.56
28.4717	59.0331	20.3064
11.0514	86.0401	26.9562
32.9873	53.9909	94.1672
52.192	82.0958	25.4792
31.5706	48.933	44.1361
29.0197	48.972	23.585
18.9253	59.6747	29.734
39.6989	30.0884	45.9841
36.7483	40.7467	53.0701
24.7307	26.9976	29.0863
51.4095	50.5746	38.3288
6.5371	85.0288	42.5054
39.0994	65.2893	19.949
35.0487	88.5038	55.0351
54.0883	67.5185	24.4033
32.633	52.1004	33.4254
36.5257	28.9157	33.6887
14.5565	17.3373	50.9057
74.7283	66.4179	39.2631
36.4891	42.3628	37.3326
46.3913	28.7013	29.8445
28.895	59.1253	50.0184
23.3172	60.9296	29.4051
47.4645	53.2214	30.9289
36.3062	42.6083	50.4939
33.1016	35.9453	34.093
19.6113	48.6805	79.4061
24.9666	48.7987	51.5579
45.6256	51.6473	35.5226
44.2985	37.4408	29.586
25.4694	57.1028	42.1789
78.8522	41.8767	40.3277
25.8496	62.0952	52.3906
22.3161	48.5751	29.2362
33.4697	35.6142	34.6708
61.4355	39.2994	33.2917
36.215	70.2195	36.4805
50.011	26.7672	37.1189
59.8594	56.4787	61.5931
41.3651	50.9227	66.2492
52.5988	22.7809	28.2638
29.6866	33.6574	44.6259
33.7839	38.9818	24.6411
15.7432	38.3448	30.8846
29.9903	99.5868	29.1881
33.5181	51.3453	34.2951
33.605	33.4767	52.1798
30.8593	47.9788	49.6949
69.1534	40.0691	43.3451
27.9551	23.681	51.7844
19.8826	39.5131	26.773
42.0363	44.3533	65.3204
32.3633	33.7261	40.5982
25.4613	81.8456	61.0099
57.1486	34.2483	45.0265
31.0406	44.1456	54.4412
33.8999	35.3777	51.5942
32.9027	30.9767	27.296
35.6148	39.4032	39.5512
25.9791	33.7559	24.9839
47.074	3.9205	27.616
24.805	61.3062	25.665
34.7593	35.2021	35.3125
30.9308	60.5708	59.8904
67.0022	87.2886	31.426
25.9223	36.2938	48.0146
27.5566	42.4085	32.7536
78.7609	5.0985	25.6388
26.894	50.8558	33.0513
27.0127	36.1301	31.5255
36.3243	4.9304	32.0654
21.1756	64.3827	32.6972
19.3212	30.5176	36.3783
17.981	93.6171	20.3458
44.315	37.3659	48.1064
40.8641	47.21	32.348
24.5252	10.44	19.1406
19.8857	24.0411	23.2052
18.6474	71.5224	34.7813
63.9187	70.7442	34.5459
27.2919	50.4158	28.9015
22.2013	44.5965	37.109
59.2628	40.908	44.2244
29.9699	40.8616	30.0228
55.7158	88.2048	26.9061
26.3568	120.9233	23.9172
50.7083	84.7617	25.9803
36.2407	77.8502	26.4773
19.3061	83.2417	24.0845
51.8431	82.9679	26.662
22.3684	58.5004	23.2191
39.3224	65.4702	18.2058
28.5142	100.0192	33.3911
26.1481	32.7184	18.3446
31.938	63.3077	52.5965
33.6229	92.3666	42.0134
20.3984	97.4967	16.1294
79.0924	84.2745	26.5167
20.7206	66.7676	12.4034
70.3403	71.5533	39.7677
22.4903	137.039	54.0017
9.4811	155.6713	47.1563
59.7057	32.8358	92.2284
37.567	69.4367	46.8426
21.5249	103.4945	44.2063
21.0009	60.7868	35.6783
27.5816	71.094	56.2153
20.6558	85.3232	30.0327
18.8194	88.4403	31.8687
21.0869	99.5307	75.0414
36.5872	51.5779	66.156
21.6171	102.7213	23.7907
19.6486	96.5897	36.4795
23.0841	68.9334	58.7916
14.0053	67.2978	50.5524
14.607	86.2202	40.9677
19.3496	91.7463	67.1793
18.7913	113.4715	27.9477
30.6299	102.1276	54.7988
44.9418	87.883	38.5345
31.1864	94.7694	47.7889
15.7722	79.9852	69.3544
44.2758	73.0147	22.5638
36.1109	33.9587	64.9904
38.0982	73.3118	50.6066
31.1839	74.0852	42.8406
36.6914	105.8594	43.3965
33.147	78.7318	102.9249
17.7891	105.0045	48.4394
55.9776	120.1653	34.3436
13.0751	82.9733	49.0862
61.979	85.898	62.3627
39.7109	59.6729	40.6166
45.2053	104.2327	23.482
31.8097	53.8663	59.2996
41.4553	87.8606	49.649
43.4947	75.1349	38.9419
54.8175	81.7583	36.3111
40.8636	99.6706	29.959
11.1762	93.8166	43.4469
28.9705	78.6988	29.9555
5.0133	6.3333	12.0643
34.9346	125.2356	43.1226
49.9768	73.6039	52.5585
24.2904	105.0372	46.2106
12.8346	69.4565	49.0244
24.4044	83.715	72.8926
28.5697	93.7588	31.0181
51.1508	85.1226	14.3584
27.6364	86.6893	37.5957
32.3942	74.7694	47.3286
13.9651	61.6338	64.6847
60.7305	70.0625	44.4609
15.5762	85.7004	58.0201
16.1019	81.91	36.349
26.2805	138.6906	59.2895
114.4298	84.6032	55.1654
33.6264	46.5453	37.4421
27.9602	25.7603	36.1994
11.4299	114.4584	59.7538
45.4723	20.9324	62.8442
35.5569	85.1097	79.3012
22.6578	65.1933	68.017
17.8288	79.3527	37.3675
42.3704	94.1814	62.9139
31.6096	83.1075	42.4229
49.5226	92.827	41.0335
54.4989	57.4944	65.698
24.4446	85.9929	37.8955
55.3557	85.7373	44.7887
47.2708	119.88	36.4167
13.6958	75.5109	46.3405
29.717	68.222	45.211
64.2907	89.9153	62.793
38.1081	40.7924	32.3434
12.9186	118.876	38.1818
38.8001	99.3977	38.2752
27.8758	76.1545	66.8431
16.9679	79.4706	80.425
59.7264	123.9679	49.4258
46.348	84.3531	53.9928
11.9185	94.5898	63.39
42.0472	91.4715	21.2347
43.5747	127.974	41.4133
49.262	60.9765	62.5111
42.4284	117.8745	21.9851
42.2295	104.8597	49.6881
31.2075	65.4274	89.8134
34.043	88.0316	31.1207
54.4781	65.7858	32.5991
51.9042	79.7891	38.1992
43.923	83.4285	67.548
48.3546	107.2977	31.4356
38.7535	64.3272	46.9738
46.3624	119.6458	34.8371
48.8207	108.6006	17.5827
68.7904	20.9223	66.8227
50.2423	102.4633	35.6207
53.2738	41.8591	50.292
34.6997	83.2451	36.4957
60.1636	87.852	46.4821
34.1789	142.4631	28.8566
9.2679	93.7338	87.6913
49.896	76.8743	73.2878
25.4087	104.8522	72.975
34.8341	96.9488	52.4252
46.9442	113.5996	49.9677
53.1659	121.0037	37.4964
21.7962	86.5452	24.4569
36.2128	122.1731	35.8188
27.5781	57.374	56.0189
32.2473	58.9577	43.2544
47.1549	55.8343	83.1879
57.3798	91.1193	44.3012
63.7138	108.0618	57.2492
27.6908	105.4362	29.5922
21.8558	102.0702	98.07
32.0892	76.5164	47.5342
27.6523	110.5245	46.592
39.4885	32.4009	42.6332
57.5173	127.7775	35.4561
48.1885	72.3077	35.348
31.1489	49.1169	55.8647
24.7857	61.1848	62.5792
40.003	62.7804	26.2298
31.1739	63.4409	40.1098
27.4102	30.3907	55.5935
23.808	34.5953	61.5013
20.9171	83.5014	38.0649
13.6223	35.3283	61.3719
20.0428	76.9432	39.5019
49.82	64.1876	47.1452
30.0553	129.5681	25.4074
43.6057	108.3122	28.6153
38.8103	76.6997	59.8807
39.2442	97.5519	70.8417
27.5707	59.9126	55.2288
27.568	123.5662	61.8322
45.4232	96.4804	47.894
16.0511	45.9137	33.6922
26.493	75.7223	75.9221
31.3143	45.3621	55.6603
43.6472	38.309	53.2118
20.9478	25.6861	26.8721
27.4962	51.5204	29.439
35.138	51.7458	32.0283
25.1095	52.6166	47.5009
11.8732	53.9185	58.2037
24.8642	52.6643	50.5569
17.3246	44.3274	42.5164
31.291	63.7766	37.9653
53.5462	32.9366	62.9515
30.3862	89.6672	45.1764
56.113	117.2772	53.9091
49.1711	39.4174	33.0872
83.7973	33.1452	46.9624
70.9208	27.9964	66.1442
36.5965	41.0071	34.6099
18.4495	49.8348	48.9372
28.6586	58.87	38.9415
21.6769	64.5645	84.1083
18.9067	25.7885	52.1566
47.4622	53.6997	49.5026
62.5431	66.6468	62.0552
23.5247	66.4735	26.4927
30.1709	43.6738	44.111
30.3855	75.9128	60.1442
32.2352	50.7007	49.374
41.3634	33.5268	47.7548
25.409	83.8643	60.0156
35.2853	35.7774	88.4295
17.9248	104.6844	71.7914
31.2662	68.6658	45.7879
42.6468	25.0555	52.2372
21.8438	68.9289	42.0682
37.3039	78.9988	26.9353
54.6585	62.985	51.7937
30.5118	75.2237	67.3168
37.4234	103.5344	31.5842
50.7943	55.336	43.4494
14.5693	24.0567	64.6273
23.7114	99.1143	41.42
23.1035	41.4353	39.5642
42.9377	16.7947	65.2285
59.3251	107.6495	34.2987
68.6986	47.8763	37.8502
40.2036	38.7479	51.4245
57.6721	54.0113	17.5317
	86.3203	63.5816
	112.7503	45.7047
	27.5718	60.045
	26.4489	30.3838
	87.833	24.8946
	54.1762	40.1462
	53.6426	17.3492
	53.2024	36.2249
	30.2386	36.0938
	98.5516	30.2957
	38.9551	27.4326
	53.4805	26.0839
	75.3169	76.4243
	98.898	56.8113
	50.9676	24.9265
	31.7202	31.6652
	41.2944	36.1198
	49.5503	16.4014
	95.9401	31.4402
	62.376	36.0058
	34.6069	18.5213
	42.245	41.6159
