mouse1c	mouse1i	mouse1j
25.8842	24.0046	34.5845
47.0011	25.6412	21.186
19.3747	14.1101	36.6536
24.562	22.9893	20.043
42.0984	38.1088	24.1133
41.6884	18.0137	35.0558
28.0624	19.9283	18.0441
35.2437	36.9794	28.3229
29.7838	24.8918	26.4852
36.999	26.6676	10.6214
38.2904	17.5314	46.8284
41.5065	31.2559	38.6302
38.1382	64.0236	26.6944
32.2677	13.6039	34.3731
44.454	21.072	30.1501
33.0868	30.5332	24.4027
44.2788	35.0368	26.0125
41.3254	35.5904	30.4271
43.1049	22.7046	18.0353
43.0264	41.7129	31.9534
28.7009	34.3079	25.4762
30.1447	19.2072	34.9948
32.9639	19.9805	37.0502
34.9601	18.8094	27.8222
48.6497	35.348	33.9109
34.7742	13.3384	34.2824
33.4129	21.2516	24.9789
11.5258	28.2268	30.4486
38.4854	39.5982	31.9858
40.769	33.9387	25.9083
42.6693	26.3638	33.5427
48.1784	29.3794	18.8233
36.0237	37.5934	13.6864
53.5771	12.3954	33.617
37.9492	17.8954	23.4899
39.2604	27.6032	33.9342
39.5842	40.493	44.3588
33.0074	13.5087	27.3237
16.3384	26.7114	49.1364
17.5143	26.1345	30.7097
35.6528	41.7405	22.5905
37.1041	21.5594	26.2294
63.0866	34.8428	40.4841
35.0376	25.2418	36.3981
27.0743	28.2578	19.7774
26.128	19.968	22.1388
45.315	21.8301	19.361
41.4907	16.9657	11.7678
34.4397	39.7401	21.1081
30.8824	24.9142	27.5918
30.0751	24.319	18.0804
28.6564	24.8424	38.8727
24.5156	26.7223	27.19
23.297	22.0638	22.0706
31.9966	33.375	25.8696
28.6557	37.9107	34.3165
34.4091	35.2054	28.5949
19.9718	22.0896	18.5536
24.388	43.636	22.317
46.351	15.8393	19.8598
47.5227	18.2093	27.9338
32.0537	9.8879	20.681
43.1835	24.2729	27.1297
35.4551	30.6408	36.1238
25.8495	17.3808	29.04
37.3872	38.5612	42.6877
27.3775	38.2212	22.5208
33.9719	25.4583	25.7145
32.9979	25.9266	20.1871
25.181	23.5992	34.015
22.1497	27.7685	31.9566
39.4948	29.4395	26.14
54.7609	18.2291	23.5211
31.9524	22.2757	40.734
30.205	16.7808	20.5662
23.2116	29.4608	38.5523
31.906	30.5885	23.6037
32.6824	26.2102	12.6411
30.1697	22.9693	45.304
55.2841	14.448	22.328
43.3666	21.7761	27.4889
38.6731	21.2687	19.3974
36.3075	20.3844	23.1839
20.442	28.054	29.1994
33.9275	44.5545	50.4061
43.0169	27.505	31.5656
32.7513	16.9024	23.7686
35.3755	39.4917	22.3077
44.6303	43.3758	13.956
38.131	24.1659	29.6296
27.6948	18.8348	27.225
36.8909	30.1654	39.6683
47.2685	40.7226	28.0435
32.6912	35.6868	31.5759
42.1127	24.6746	19.5524
30.5375	28.6478	19.956
34.6291	25.4018	20.1389
24.4479	22.04	24.9823
35.4175	41.4078	25.5747
38.9304	27.1426	38.4029
47.5613	29.6291	20.6639
32.9326	20.2056	28.2064
35.5438	26.8694	33.6904
26.5287	32.1318	26.8514
30.6439	29.7631	40.0504
27.2529	18.0301	19.7418
27.4951	26.4709	14.4441
33.303	33.3035	15.0749
41.148	24.781	39.6532
32.8414	25.7439	24.2192
36.307	27.5259	18.6246
28.6709	41.6431	27.5236
38.0405	42.4712	30.6838
41.8174	30.4086	22.0217
52.0559	35.07	29.9711
49.0631	40.2603	18.3547
42.8533	33.7495	27.219
78.8704	34.4301	21.6304
39.5003	26.7986	22.0631
47.7745	44.4496	17.4803
24.535	41.1377	14.6009
29.7891	32.5489	23.6607
47.0994	34.2987	22.3844
30.5291	16.7498	25.1583
31.8556	37.6444	19.6233
42.829	24.8974	18.312
