mouse1c	mouse1j	mouse1i
3.3521	9.228	2.1428
11.2175	6.4451	2.0908
8.2019	9.282	2.0956
4.2659	9.7173	2.1459
6.2355	11.2601	1.9911
5.1015	7.1245	2.1831
6.9744	8.3484	2.2257
14.9985	6.8697	2.2448
6.6553	7.0038	1.9747
8.9833	8.8463	2.0225
2.6821	11.1617	1.9344
13.7833	12.2304	2.0573
3.5504	10.7469	2.0832
7.8893	8.7246	1.948
3.5498	19.3869	2.0656
4.8268	34.3242	2.0173
4.2893	16.5562	2.5192
3.16	20.5634	2.0068
6.7148	15.9965	2.0813
5.6283	11.3401	2.1732
6.0266	9.8638	1.9736
6.2792	12.7341	2.1021
19.0559	11.5972	2.4155
10.7298	13.4866	2.4215
13.4032	17.86	2.5277
15.1803	16.1422	2.56
9.5299	18.0056	2.1709
9.9676	20.4377	2.2769
8.1782	19.641	2.195
10.334	8.2137	2.7833
8.0914	15.9354	2.5883
6.8207	42.4306	2.3275
7.3665	8.2364	2.3766
16.4848	6.4261	2.4915
4.3769	7.379	2.3447
6.2793	7.1334	2.6381
7.0344	10.1023	2.5234
9.5885	6.7133	2.0488
6.0167	6.5606	2.3602
6.7617	7.1994	2.2949
3.5959	7.2285	2.5344
6.9923	7.0274	2.8595
9.8289	7.2758	2.1473
8.8741	11.1779	2.2501
9.0053	10.112	2.2371
8.0679	9.1803	2.4349
9.1954	8.512	3.1702
10.2647	10.2786	2.3358
7.6363	11.3578	2.2368
14.7437	11.7783	2.2463
14.1688	9.362	2.5071
6.4305	8.7818	2.8808
6.8833	8.5117	2.6881
27.7502	7.0936	2.3721
7.4182	10.9831	2.7857
21.3874	7.9731	2.7716
5.137	7.6832	2.7939
5.4198	6.2129	2.3724
3.9211	8.0338	2.3998
3.3095	11.5788	2.2361
4.1436	12.5622	2.0657
2.9812	6.0289	2.4112
13.8932	9.799	2.3742
13.5309	11.4851	2.5591
10.6877	11.2954	4.4433
9.6809	10.6675	4.481
7.4972	11.5854	4.3327
7.8262	11.1251	4.0438
12.0078	10.2402	4.2073
7.077	12.0457	4.0862
10.0628	8.2322	4.3052
6.656	10.0703	4.1741
6.6472	8.1025	4.4571
8.8633	8.1987	3.9923
8.0848	6.9585	4.0723
10.7515	5.5629	4.0319
9.8232	7.6719	3.6394
12.2097	7.9955	4.1341
7.1691	9.9651	4.0377
6.7896	8.6893	4.198
8.4868	8.09	4.0749
7.2288	7.7984	3.7312
14.6711	6.7735	4.2959
8.5989	3.6195	4.0636
8.3393	4.0326	4.0968
7.9188	3.6166	4.042
6.2003	3.7224	3.947
9.2784	4.1117	3.9366
6.6165	3.7087	4.2848
8.4623	3.8147	4.3466
11.1812	4.8198	4.4055
9.3815	3.8739	4.1141
10.4278	4.1913	3.9731
6.7977	3.9033	4.2274
6.9279	4.3623	4.0937
12.5784	4.2289	4.0178
9.9722	3.9981	3.9608
8.4613	3.7978	3.9683
8.8668	4.4808	3.7491
9.9227	3.9477	3.7864
8.9776	3.9768	4.2872
15.9083	3.9097	4.0346
7.0629	4.1883	3.9754
9.0049	3.8295	3.667
7.63	3.857	4.3331
7.2368	3.776	3.9001
13.9496	3.8674	
8.3928	3.8233	
7.8393	4.2307	
14.7303	3.8813	
9.5564	3.7915	
9.7107	3.8863	
9.2781	3.8493	
6.895	3.9611	
11.6572	3.8562	
8.1249	3.7406	
10.3383	4.003	
8.2304	3.8442	
12.0302	4.111	
9.8099	4.1635	
11.9829	4.0687	
7.5135	4.3928	
10.6977	3.857	
7.1562	3.9464	
12.2047	4.0197	
9.4555	3.8958	
10.6553	4.2149	
10.7276	3.3785	
8.6303	3.699	
12.0489	4.0145	
10.0437	3.8044	
10.514	3.383	
10.0291	3.5462	
12.4806	3.8158	
10.5996	3.1856	
11.3328	3.1814	
13.8157	3.7249	
10.7392	2.9773	
9.5819	3.761	
9.7508	3.7959	
9.9855	3.536	
11.9475	3.6539	
8.8843	3.8163	
8.6715	3.638	
11.1265	3.6868	
12.757	3.6543	
11.953	3.7636	
6.9535	3.476	
10.6568	4.6213	
11.8902	4.8167	
13.914	3.5611	
10.3943	3.8472	
11.4354	6.249	
10.5164	3.5522	
13.7225	3.5152	
8.2566	3.4638	
9.3499	3.9019	
12.7011	3.65	
14.2403	2.9217	
13.4642	3.2493	
7.2741	6.1464	
11.959	4.2775	
9.874	3.7375	
12.8089	3.7498	
11.3065	3.28	
12.5915	3.5674	
12.5794	4.0268	
13.1651	4.1013	
15.1268	3.648	
10.8533	4.4741	
10.9902	3.576	
9.9458	5.1584	
10.0707	3.2916	
12.0921	3.5591	
15.094	4.2251	
14.0322	4.3471	
11.4185	3.5759	
11.3552	5.3237	
11.5	3.7219	
11.1371	4.4088	
12.9399	3.5235	
13.0324	3.7055	
12.7799	3.5535	
8.7856	5.1632	
12.0337	4.1463	
13.1529	4.2753	
9.4017	3.7874	
12.6671	5.2685	
13.3977	3.6353	
8.3106	3.7224	
9.7355	3.6078	
11.4324	3.682	
11.7583	5.5406	
7.9435	4.4376	
11.3411	4.3985	
14.8194	3.5047	
11.4426	5.012	
7.5523	5.9764	
11.6196	3.2841	
7.659	3.4653	
11.5626	3.8365	
10.0464	3.7589	
14.3732	3.3882	
8.928	4.4669	
15.9215	3.5098	
12.522	4.4245	
11.14	3.2275	
7.9584	3.979	
11.0053	4.8775	
14.1143	3.4249	
9.425	3.899	
7.5696	5.2229	
6.3548	4.5602	
6.0256	5.6473	
6.4907	5.2339	
8.2918	3.8773	
7.5152	3.6427	
7.6458	3.769	
9.9789	3.8	
6.8285	4.1005	
8.5416	3.6132	
7.1537	4.7738	
5.9731	5.1526	
6.4212	3.7442	
8.851	4.238	
8.8095	3.545	
6.6627	3.4814	
6.4664	3.6945	
7.0497	3.267	
7.9472	5.6261	
8.913	3.2229	
6.9562	3.0845	
8.5014	3.3767	
8.6453	3.3014	
7.1654	3.5866	
7.4733	5.1575	
8.3196	3.9115	
5.9001	4.3516	
7.8783	3.0887	
6.3662	3.314	
8.7232	4.0407	
6.9099	3.7143	
5.8548	4.2929	
8.2374	3.7227	
9.6199	3.7369	
7.8627	2.9062	
8.2789	3.7811	
8.4674	2.6897	
7.4871	3.5198	
6.8607	6.0609	
9.625	6.6968	
9.0388	3.5902	
10.2704	3.221	
6.3344	5.0822	
8.818	4.4336	
6.0075	3.8455	
6.8667	3.7485	
7.7541	5.5314	
8.4287	4.5938	
7.3847	3.8318	
7.9298	3.0245	
7.3436	3.267	
7.8593	4.4015	
6.1908	3.5751	
8.5912	3.7835	
7.3335	3.7843	
5.8955	3.5926	
9.8046	3.9682	
9.7385	3.2605	
8.2649	4.0079	
6.0984	4.4353	
7.7436	6.5851	
8.4231	3.7272	
8.4389	3.9082	
6.0419	3.5563	
7.8337	3.9699	
7.9005	4.2253	
9.8325	3.3865	
8.4117	4.6096	
7.8687	3.0455	
6.4701	3.4989	
6.6667	4.4168	
9.2816	3.6021	
8.6134	5.2227	
6.434	3.6176	
7.9757	4.0355	
9.2302	4.7263	
6.6018	5.8897	
5.3179	6.2737	
7.6667	5.3444	
6.1411	9.0581	
7.1692	5.5452	
7.9645	4.7901	
8.6419	6.8184	
8.641	4.6301	
8.3124	9.6428	
7.2183	5.7061	
6.7368	3.3671	
6.6551	7.0025	
6.908	3.7997	
6.47	6.4468	
7.9225	3.9051	
7.3289	3.7794	
6.5306	3.8261	
9.1296	4.8472	
7.4751	3.999	
6.3863	4.14	
7.6899	3.6531	
6.8266	4.7069	
7.9937	4.147	
7.6668	4.2279	
6.5765	3.7745	
6.777	5.8582	
7.0588	3.7036	
6.7107	4.1554	
6.743	3.7926	
7.1034	3.7647	
6.1711	3.8604	
5.8501	3.9871	
7.2986	3.689	
6.5047	3.7326	
7.0196	3.6442	
8.9297	3.7787	
5.8977	3.7323	
6.1332	3.829	
5.9933	3.8086	
7.8405	4.5474	
8.233	3.6899	
7.357	3.4208	
6.1369	4.1552	
7.411	4.135	
8.6544	4.1415	
8.7425	4.3585	
9.1714	3.8535	
8.1421	3.822	
7.9093	3.8591	
9.053	3.9922	
9.1618	3.8217	
6.1692	3.9239	
6.6529	4.1964	
8.2819	3.6089	
7.8037	3.6329	
9.685	3.7942	
5.8477	4.314	
6.3189	3.7967	
8.859	4.0975	
6.205	3.9337	
8.3001	4.1334	
8.5754	3.825	
6.7913	3.9084	
5.5823	4.0607	
9.0707	3.7629	
4.7397	3.5969	
6.1533	3.8851	
10.2963	3.8708	
6.4041	4.3012	
4.9898	3.933	
8.57	3.7059	
5.8555	4.0196	
10.3526	3.7501	
14.0633	3.7992	
18.1152	4.0203	
5.8059	3.7896	
5.904	4.0846	
9.7762	3.723	
7.3133	3.8839	
4.014	3.9761	
8.2332	3.774	
4.4075	3.5457	
6.1903	3.8928	
4.4581	3.6523	
12.213	3.4326	
3.7824	3.7045	
4.2859	3.8191	
4.9917	3.7861	
11.9672	3.5764	
4.9809	3.9207	
4.4161	3.6187	
5.8117	3.8381	
4.9937	3.7518	
18.8611	3.8498	
4.3437	3.6121	
7.7238	4.2093	
4.5573	4.1323	
5.0499	3.5413	
15.9211	4.3197	
5.3215	4.0377	
5.2638	4.0424	
4.6022	3.8086	
4.688	3.5796	
8.4702	4.2028	
7.267	3.6237	
5.1088	3.6959	
5.2265	4.1466	
4.2229	3.7543	
4.4026	3.6093	
14.7414	3.6669	
4.371	3.7077	
4.8309	4.3108	
4.5127	3.6378	
5.6969	3.7418	
6.5258	3.803	
8.6098	3.6381	
7.6332	3.4004	
7.781	3.7958	
5.3572	3.5133	
14.4647	3.8766	
6.9926	3.9157	
6.187	3.6843	
11.1753	3.5216	
10.2416	3.7201	
5.9351	3.7027	
16.3259	3.8998	
6.8976	3.8069	
11.6833	3.7889	
7.7339	4.2394	
12.5657	4.2307	
9.5841	4.1803	
11.9649	4.1198	
5.7281	4.4263	
7.3718	3.6044	
6.4712	3.9506	
5.6144	3.948	
15.4821	4.4065	
4.3951	4.3129	
3.7901	3.7208	
14.1849	4.1657	
22.7172	4.1659	
6.4044	4.3781	
