mouse6e	mouse6g	mouse1a
69.0785	10.5618	8.3936
48.8354	10.0391	10.8408
31.6718	6.9231	9.1098
58.4569	7.0358	13.3183
40.9805	7.9452	11.7266
57.2482	8.2451	8.6425
92.415	6.9433	7.56
82.2827	6.2507	11.4248
85.0348	6.7646	11.8834
77.221	7.5934	7.7223
80.677	7.3126	10.0214
93.0879	8.0868	6.6555
67.1573	8.3886	13.6062
116.5593	7.5898	9.2659
35.1117	7.4911	16.4084
35.0236	11.1142	7.6816
68.8009	7.5492	12.0948
108.6551	10.0263	10.0176
97.2952	7.2802	7.0648
61.2677	8.5874	6.3416
33.9842	8.6492	12.7498
117.9309	11.2092	8.857
60.0538	9.2795	8.7808
111.9045	7.2232	9.1004
103.0253	8.8713	9.9484
57.1611	6.3563	9.3998
110.879	6.7069	6.9491
53.0292	6.3075	9.4447
68.3405	6.6925	4.7859
51.9974	6.9367	5.6693
98.8004	6.686	7.5013
109.4352	8.2474	7.7052
57.5196	5.4218	8.0712
30.4516	10.0422	10.6247
124.2158	5.5284	7.3137
113.543	10.3908	7.4457
86.7095	6.8174	11.1417
139.6857	7.4877	8.9668
96.8493	8.4191	7.1502
67.7268	7.32	13.8912
61.8724	8.0695	8.1231
20.9515	8.291	6.8685
124.7482	7.0729	9.0685
30.8737	6.6282	7.3841
53.7937	6.3088	7.747
67.3162	6.6884	9.7352
79.4948	6.4371	11.2981
36.2584	7.6988	10.9662
75.635	7.1225	13.9225
78.1206	7.2955	9.0653
20.6086	7.1164	12.2939
34.96	6.6026	13.2993
43.4929	6.025	13.6185
69.4419	6.0968	11.3533
90.8619	6.0906	10.5646
59.9625	6.7649	7.3301
59.5211	6.5687	19.3032
69.3062	5.703	13.274
57.3753	7.83	10.4815
70.0182	6.4365	7.4772
99.7224	6.754	10.3225
108.9083	5.8959	10.4193
61.4617	6.1139	18.2007
39.6939	5.4246	9.3402
11.7959	5.8881	23.2806
66.4387	5.8788	27.7757
59.2615	8.529	11.6989
15.6194	17.246	30.8352
46.7787	13.4656	22.6857
39.3503	6.6023	10.5136
39.4088	8.1054	15.0868
24.9556	12.1305	7.245
27.1995	10.9182	7.9551
41.966	12.7166	8.0916
14.5719	11.6443	10.0391
14.9229	16.5868	10.3998
14.2406	12.5636	9.117
15.376	17.9665	9.2319
55.5416	9.9329	8.9178
53.6984	6.6968	8.4915
8.3432	8.3285	34.9421
44.5407	8.1906	9.1153
49.8908	10.0968	9.4785
28.313	10.4887	17.1845
37.6083	6.9361	9.2203
61.1448	6.8037	12.2019
39.2333	8.6056	9.5802
40.43	10.8294	13.5821
40.3323	8.9261	10.5935
41.9309	10.5382	11.5735
45.0382	5.7189	12.4761
41.951	4.6771	12.2605
67.2376	5.2895	19.7534
42.4365	7.3633	8.6309
107.4696	7.1145	5.9129
128.267	4.9906	6.5134
96.2647	7.1469	9.9846
37.0767	8.2895	9.2561
48.0139	7.9948	10.4306
30.8872	7.9751	10.6103
98.5834	8.7628	10.3875
82.4375	4.9996	9.4934
71.4322	3.8458	8.4392
41.3255	6.3568	7.1808
81.2624	8.3839	10.8867
112.6101	7.2243	25.9013
111.9165	7.4053	9.1708
109.7476	8.7436	10.9822
21.0902	6.1197	17.4527
63.1777	7.2788	7.8161
67.9333	6.7665	9.0825
94.0602	7.2076	13.1139
102.378	8.1752	18.4641
10.7087	9.9977	19.8488
80.1652	8.3597	11.847
69.8073	9.3584	20.8353
113.4466	6.9252	17.1188
92.5211	6.7481	11.1184
79.3429	6.9234	11.7825
95.1523	7.6733	18.8707
123.2931	9.1315	20.7342
98.9305	22.4097	23.2258
72.9877	9.3654	11.3576
47.9758	6.1437	23.7154
21.9254	6.3122	20.6887
48.1468	6.9887	18.5193
24.3729	7.5712	18.2426
47.2773	7.0958	16.9776
66.8178	6.092	10.7188
47.1657	10.6312	18.8223
43.0782	9.2934	41.1759
30.4182	15.1094	17.3187
37.8185	10.1738	14.6401
55.1532	11.9498	18.8262
41.2621	9.2966	15.0341
89.9541	8.6028	19.5304
65.195	10.6109	16.131
41.6258	10.0546	17.7845
64.4111	9.9232	15.5702
57.3672	12.0325	16.4729
33.065	8.7912	15.7695
77.2071	9.4205	16.8047
55.3735	7.5786	16.7397
127.5431	9.0335	17.0719
92.6247	9.8907	15.7113
13.6339	9.2882	16.1846
82.7666	8.4645	16.7493
61.1713	8.5732	6.7382
85.9779	7.7088	4.9365
57.8439	8.0302	4.635
55.4157	7.7907	5.5124
62.4071	7.9165	4.7896
95.6531	9.8349	5.4706
51.4751	10.9778	4.6254
99.6282	10.7553	5.0837
63.3779	7.9345	5.6223
67.9954	8.6756	4.5045
48.8465	7.7945	4.8626
86.7269	9.0072	5.4649
50.2944	8.2866	4.0513
55.5568	8.774	5.8978
56.3675	14.1862	5.6353
48.2808	9.1111	4.9213
105.2504	8.7216	4.7713
35.5429	7.2842	5.2567
77.6224	9.584	3.9441
45.9536	12.0331	4.4953
108.9189	8.8155	4.4287
52.9231	8.6917	4.3675
74.7666	8.6812	10.5278
127.6181	10.7403	5.2842
55.7292	8.6501	4.4162
98.1593	8.4366	5.1229
75.8324	8.0202	4.3442
106.0303	7.5299	4.4929
158.8836	8.061	6.0957
89.595	7.9806	6.1276
107.5257	9.112	8.3667
94.9301	8.7938	4.3691
78.4604	6.3032	5.2987
113.7671	11.7599	5.2771
77.3914	11.4578	6.5023
118.2127	8.2264	8.7436
151.2002	9.8867	11.5573
80.275	8.2285	4.7099
135.6729	6.8142	4.522
97.4337	9.2494	4.5863
60.5032	6.957	6.6883
52.7272	8.3062	4.4265
114.2453	8.0976	5.573
95.9304	9.4112	4.5752
119.8073	8.2245	4.3999
104.8585	9.2812	5.2792
71.6049	7.2977	4.0636
73.7784	6.5624	4.8493
5.2761	7.6443	4.6278
63.6892	11.7364	7.7539
39.5075	7.5409	6.3949
98.403	8.4482	5.0679
45.5377	9.8533	5.1623
39.7202	9.0514	4.8363
63.0507	7.364	6.1256
30.9753	9.6202	4.5135
83.5284	7.7432	7.3239
50.7263	6.5575	13.3029
40.7958	9.2136	4.6166
87.1938	8.0241	4.1462
60.1429	8.431	4.5626
53.7732	9.9342	6.3816
58.6832	8.3703	6.9734
48.5153	7.2223	9.1253
97.9987	7.9827	4.6918
21.7676	6.153	3.8407
62.544	7.5437	4.2262
57.9616	8.3953	4.3422
24.3177	8.5489	4.8346
70.8676	8.2464	4.7987
107.6391	8.0887	5.7043
42.5007	7.387	7.2357
20.128	7.7208	4.5354
41.171	8.7016	5.9633
40.119	7.7603	4.9879
86.7953	7.0975	4.9367
16.7997	7.6246	4.5942
29.149	9.6664	5.631
78.0912	8.0918	4.8618
103.7714	8.2671	5.04
25.6842	8.6917	4.6432
34.7371	12.3395	4.4323
59.4997	7.1494	6.1433
53.5477	8.411	6.103
20.2413	9.6341	4.1669
18.9447	7.2072	6.584
43.2998	8.0695	5.3544
73.2002	7.4902	5.8058
28.2403	8.6884	4.3756
54.9773	9.9396	4.1054
39.2268	7.8622	6.0841
49.2522	6.7365	4.6012
34.1844	7.4201	5.8133
28.9046	7.8197	4.0509
21.5148	12.1601	4.6947
54.6818	8.4194	4.5262
41.5596	7.2627	4.7389
90.1951	7.4088	4.6358
63.9677	8.1824	6.0459
41.8378	7.4528	10.8407
30.866	9.7471	14.5299
45.7404	6.9111	9.1325
26.0669	8.2083	12.8685
41.0325	7.9512	10.8677
87.426	8.0075	10.3092
53.3166	7.9618	12.5414
25.1181	8.11	13.7816
40.9506	6.8298	14.1926
20.1171	8.1465	11.7113
57.7349	7.4549	15.9086
50.6991	8.5888	11.0318
60.9611	8.3335	15.6399
65.0498	8.2432	11.61
55.1292	8.4877	13.0126
58.4408	10.0302	15.2389
55.4982	7.621	11.997
59.576	7.9004	12.6164
43.0904	8.4252	14.1662
50.0465	9.422	16.1704
29.0851	7.3021	13.2284
37.0639	7.5537	14.0399
37.7071	8.4508	18.4187
22.5902	10.0265	8.2232
61.9716	10.3128	17.8555
27.0882	8.0833	16.2164
53.2154	7.9123	16.0659
39.0278	7.8886	11.6384
57.4459	8.8426	11.2523
81.719	8.863	15.9216
74.5579	7.0179	13.632
34.4912	2.9804	15.3499
34.0246	3.6887	16.9146
55.5071	2.542	16.2123
80.8917	2.6079	14.1817
59.188	2.6697	13.7311
58.7278	2.9106	15.9979
30.9276	3.0888	13.7606
52.4523	1.3261	16.0402
69.8561	2.4717	13.6767
61.1539	4.0727	15.6028
20.3949	3.1042	14.2713
54.0468	2.8866	14.4464
43.4948	2.6006	13.8306
37.8792	2.7015	17.1733
27.1588	2.5038	13.2697
43.9324	2.4704	10.6405
62.0675	3.5866	16.2803
78.9829	2.7283	13.7419
64.5247	4.2541	14.9376
35.5843	3.5309	16.6321
77.302	2.1608	17.9148
30.9346	2.3896	17.8301
55.4043	2.6474	14.8929
34.4578	2.5733	17.4299
45.5107	3.3825	15.0957
55.7589	3.0664	17.6905
102.047	2.0869	17.0854
62.9987	2.6472	12.5539
50.6178	2.8934	15.696
45.9143	14.0958	12.5517
57.4021	18.926	21.6653
52.9588	4.7452	18.2352
60.9325	4.0284	17.5094
60.6227	6.1772	15.8056
58.6072	14.8382	15.195
56.6753	2.8678	17.3068
63.4645	2.318	16.4693
48.0994	12.5663	14.8829
62.0661	4.4557	14.848
67.5246	2.5581	12.828
36.4056	3.3677	17.4703
61.6846	6.0879	15.1179
58.0355	3.6651	15.9657
63.3714	2.7731	13.8159
64.0566	3.1868	12.5146
65.3725	4.0417	15.1152
111.2552	3.2042	14.1239
31.2294	3.3791	12.8567
44.0084	5.0254	15.2414
87.4182	3.3336	12.8389
52.0546	3.3556	16.3151
88.065	3.4219	16.1507
56.6367	4.0705	14.3125
70.3205	2.8782	16.372
44.5735	3.0378	14.0007
52.8865	4.7293	14.8547
54.8981	2.0458	13.7842
35.7045	7.1657	15.3329
96.3431	3.1141	16.6983
39.6101	7.5716	15.8639
74.1617	3.566	14.4395
54.8571	2.8644	14.4678
55.1069	2.9946	13.7768
58.3538	3.111	13.9987
38.2515	3.0284	15.3521
73.2351	4.1368	14.0356
72.1104	3.525	18.552
46.1598	8.7142	21.5811
71.198	6.2499	16.9856
92.8721	4.8273	22.3335
67.5038	2.5198	23.2209
56.6368	3.0576	21.4806
64.6172	2.7864	25.2266
67.4093	4.555	20.5594
36.0371	5.6652	22.1831
78.8581	4.7617	19.2005
40.0747	3.8795	19.251
38.5618	3.7834	22.8395
48.8106	3.8304	19.7252
64.5626	0.9437	17.1354
66.888	1.3087	16.5517
50.161	2.6887	14.0362
104.4391	1.5835	18.8543
59.2349	4.0486	15.6775
