mouse6e	mouse6g	mouse1a
5.4003	2.2964	5.8094
2.979	1.9576	6.8793
5.7567	4.8212	6.9171
4.4392	5.5395	4.1258
7.6746	4.3793	6.2595
7.8986	1.7485	6.0347
4.9383	3.8589	7.4556
4.6154	2.5539	9.2297
5.9434	1.0414	2.8944
3.9799	7.547	2.5309
5.7222	4.3644	4.1741
3.5955	2.1094	2.1952
7.0256	1.8411	3.2692
11.2539	6.0088	2.2257
8.8442	1.2796	3.7877
11.2849	2.0614	4.7573
2.5876	1.4578	5.0505
3.3503	1.277	5.3459
6.637	2.5959	5.3283
6.3408	1.2542	2.59
4.1222	2.7518	6.8696
3.6509	2.3656	4.5139
7.9858	3.3589	5.67
8.6811	1.8688	3.872
1.4054	0.4468	4.1666
6.5817	3.1244	4.5573
7.0786	2.0306	5.4236
2.9025	3.1531	3.7321
5.7615	2.7529	3.3017
7.335	1.5925	10.8658
5.6736	4.805	5.5044
11.5282	3.3962	8.1986
8.5425	5.7794	4.8327
4.8056	2.7756	8.884
5.3327	8.2358	4.9681
5.2063	1.7377	8.4993
4.817	3.4678	5.3841
2.4608	6.2541	11.2167
3.4786	3.65	8.1622
2.4314	1.7439	7.2222
6.7198	2.1867	5.8839
4.8173	5.4096	9.3084
3.6287	2.0238	9.0587
6.35	2.2859	10.3124
4.0895	7.4023	14.3852
3.0016	2.1055	9.8326
2.0528	5.3194	9.2271
3.1166	3.0047	6.4297
3.647	4.1048	5.5671
6.5699	6.8601	9.0756
5.7659	4.7974	6.5249
4.4074	2.7172	8.9818
6.5596	5.6441	13.6565
4.2123	2.7229	7.6654
7.7066	5.3595	9.8966
3.0134	2.7588	10.739
3.5635	5.7524	7.3842
6.4569	4.3831	4.3946
5.408	6.8793	7.8772
7.3034	0.9055	7.7775
8.9389	5.4819	6.3306
7.3636	0.6809	5.429
6.8872	3.4962	12.3126
2.5167	4.3008	16.3226
6.3776	3.2397	5.8753
10.1966	2.2189	6.6319
4.7299	3.008	7.2791
5.3043	4.6881	1.7722
7.925	2.3835	9.1112
8.04	4.2821	4.9124
4.6031	2.4645	4.4773
18.418	2.6594	8.5505
12.4672	3.6383	4.4167
6.8987	2.4996	3.5745
7.7602	1.8385	8.2056
11.4154	1.06	8.3712
8.8795	5.4811	19.0338
3.7096	2.8249	10.1693
10.2854	4.2909	10.5778
7.9743	4.3902	4.337
4.7192	5.7534	12.5417
3.1178	2.5062	5.7451
10.2274	9.3279	2.9867
22.0499	5.9537	9.6091
6.8937	1.9797	12.6653
8.4943	6.7106	9.7839
5.7037	3.4204	11.5437
13.4279	2.5512	6.7864
3.8214	4.3456	5.876
4.9867	2.0396	9.3556
13.6447	3.0346	13.5965
15.6287	4.4118	9.352
8.3496	3.319	11.9097
6.3459	2.5732	9.6722
7.4713	5.1846	6.2214
11.1566	6.8718	11.5602
8.655	7.8642	10.4451
6.1573	5.68	13.0433
13.3559	3.811	11.7571
4.6832	5.3481	9.9596
12.2837	6.2432	19.9122
3.2637	3.0892	9.3032
9.2642	2.4859	6.2136
5.681	4.7238	12.3792
7.15	4.3877	17.74
7.3696	6.8201	4.1521
3.6472	3.8645	11.1396
15.0974	4.3899	4.1879
14.1389	5.975	14.1836
8.8147	2.9732	15.7401
7.827	5.91	7.0334
4.2491	6.6014	7.2945
7.5959	4.1802	5.8446
9.6992	6.6391	7.7451
7.1709	4.4381	16.1861
4.8311	7.6484	7.1849
8.616	3.3064	15.15
4.405	2.4185	8.2907
6.751	3.4334	10.6688
8.461	7.079	5.1907
6.1183	6.5187	9.56
4.0598	3.1886	6.2156
14.5711	2.9674	10.5771
10.6796	4.8446	9.4918
5.1836	5.7813	14.5583
9.6815	6.5897	6.2164
1.1874	5.4295	11.5919
3.9589	6.1035	9.4568
8.6682	3.942	7.3307
13.9846	4.1148	12.9803
4.2254	5.1964	8.641
8.2899	4.1515	8.2109
4.9148	6.1506	10.1516
9.8108	4.2182	8.9733
4.0833	2.2616	8.1861
8.9501	5.873	4.4755
8.0822	5.3175	11.1052
0.996	5.4176	10.0566
7.3751	4.9253	6.3687
9.5955	2.5644	14.4856
11.8341	5.7067	4.7736
4.4032	2.6735	7.6044
5.9552	3.8782	9.8274
5.226	3.6199	2.9806
6.9294	4.5189	9.0851
4.0323	4.2882	17.7091
6.8894	4.3056	7.7268
8.3603	2.7731	7.7094
6.0047	5.1203	6.2877
1.5205	5.8642	6.5613
6.0422	4.2579	5.0641
7.1333	5.6314	6.1311
4.6238	3.4422	2.3646
7.7918	3.5098	3.8217
10.9042	1.5722	11.9786
4.365	7.6424	6.0487
8.4358	2.0439	17.3052
6.7814	4.4615	7.5786
11.0913	1.9788	7.3661
3.944	5.4418	8.8291
11.9917	2.935	7.0155
6.9302	1.8027	5.1897
5.2431	3.5718	7.9251
8.552	4.0927	4.2356
8.8254	2.1083	4.1319
