mouse1c	mouse1i	mouse1j
17.9371	57.8185	56.2142
25.1015	68.6496	47.8175
24.8898	38.6537	42.4596
24.953	70.389	27.3114
20.5218	49.6657	46.2499
16.5889	66.6934	21.6573
14.8582	58.7434	73.2866
16.7054	38.3182	53.977
18.0395	52.0125	61.2286
14.9341	60.5706	68.4899
16.6975	43.8945	74.9868
13.3606	55.898	22.6966
17.738	74.2355	62.8209
14.3188	41.7974	57.8961
14.2842	76.2776	73.5142
14.1475	58.6018	86.3944
14.4676	17.8617	93.6601
14.5107	67.5146	35.4291
10.533	47.3298	86.9121
8.9408	73.0668	59.8493
7.357	32.1622	60.1585
19.226	47.3614	77.5072
6.7709	32.5943	65.2933
25.3246	57.5111	43.0364
19.9517	60.2642	17.6328
23.7984	45.5075	19.702
2.5689	56.1169	76.7439
16.9086	22.999	28.0128
3.6478	37.7182	68.0947
17.4739	22.9907	56.1795
14.4075	66.5645	29.2898
15.7429	33.1238	81.125
18.2227	71.6038	81.4075
14.9546	47.2575	72.877
14.0912	23.284	54.9142
14.4405	43.4288	63.267
15.4491	49.567	40.0397
12.6028	71.6593	42.1972
12.551	26.1519	35.9865
7.4852	26.4409	56.7498
27.3107	43.7313	58.9916
24.7554	48.9342	78.1007
51.6346	40.7871	39.4536
59.2316	70.5109	53.1205
73.8906	36.8107	55.7447
49.7509	31.8159	66.7992
49.9844	44.1862	44.7114
31.68	36.8266	55.5993
40.5792	35.6615	51.6184
32.0507	52.915	23.6575
60.2986	36.0539	65.87
30.4911	69.6011	52.7617
35.1532	30.886	63.6233
39.2866	69.0612	48.751
39.6206	61.118	58.2649
32.485	39.6478	80.7614
51.2539	32.8293	33.6204
23.8706	56.2031	44.8044
22.3208	26.6179	45.802
55.9356	41.6332	33.9397
32.426	32.4112	35.8693
41.6837	23.9763	50.1003
24.5233	31.9033	39.9155
41.6731	28.3401	39.6626
31.2166	34.3528	49.3531
30.8889	25.9721	48.6825
36.6787	32.3451	55.3025
44.9068	40.5789	46.2351
37.0763	35.8255	43.7098
34.8851	83.0831	37.2975
30.5361	31.0777	34.125
48.0882	32.6805	86.6863
34.3609	51.4377	55.2363
29.5193	39.4805	39.8894
28.3954	46.3564	46.4069
56.7442	40.3641	43.9056
32.7255	64.2571	47.387
41.3635	51.5541	55.1771
48.5008	38.3565	54.2475
19.6974	32.7457	62.8835
25.3064	45.487	44.1964
28.4836	50.1608	36.6877
32.4601	44.6847	51.7421
39.6555	39.046	56.9838
38.5844	34.2305	64.4774
41.9826	51.9443	65.392
26.156	62.2222	62.4851
24.9596	22.0482	28.3545
34.7098	70.9802	70.2177
45.5726	40.911	35.7664
36.9497	56.1956	46.8626
64.2756	63.532	50.2328
43.3703	42.5608	54.756
60.1488	58.7061	75.3887
57.2559	31.5804	43.1795
36.4392	43.4491	42.55
31.614	39.0913	43.7153
36.6456	83.5796	53.5556
61.357	58.618	61.8147
32.2918	77.7376	43.6596
41.6241	64.3378	72.5884
63.9456	39.3859	54.5882
46.8455	60.8655	58.0411
24.4024	24.8303	53.9635
42.0666	87.5861	60.1039
35.8777	48.7975	42.4335
39.4462	74.6893	42.5172
39.4317	58.2137	50.7629
18.8338	24.3963	46.2645
28.7546	90.6459	31.1582
55.4586	96.5482	40.2613
36.7326	70.6468	35.6298
32.4602	94.9316	56.8167
29.292	74.9967	64.4015
49.0788	69.1179	31.4859
46.651	85.213	18.2451
21.6545	65.9426	98.3791
30.0252	51.4773	63.1262
55.0038	72.8413	49.9693
23.548	63.0204	45.0637
51.8028	72.4194	58.8512
69.7647	59.6262	68.3745
31.2286	16.8866	28.3174
27.6783	53.9436	47.1935
32.448	51.563	69.4776
41.8224	38.9899	44.755
26.1521	67.3999	59.2467
38.5831	57.281	37.7459
42.2346	44.5089	42.5567
60.939	22.4871	66.4422
58.4949	43.8056	38.0804
28.7308	66.3993	55.3707
41.7719	46.0704	72.9838
64.444	33.828	60.2217
31.1417	62.9912	41.2573
24.8678	49.0912	42.1236
60.6981	49.0447	59.6721
26.9853	67.0069	34.4061
50.6006	37.8432	34.0854
49.3916	24.7656	41.33
48.5435	47.5477	45.9647
25.9798	42.4148	37.2317
33.9867	57.9202	48.8499
39.4067	42.1094	44.4143
36.3552	38.7221	51.2926
37.775	20.066	57.2009
58.9944	43.4596	48.7013
27.3596	20.5501	43.9288
10.585	57.1183	48.3019
35.0389	31.9725	76.235
40.2439	27.5525	56.8034
45.0497	22.2669	34.9812
29.3672	20.7728	36.8219
46.8867	23.877	72.5288
32.1535	70.0301	25.48
28.0822	32.1675	17.4841
24.4044	52.1017	55.7292
35.4051	64.6929	58.6406
22.5623	43.8148	40.428
32.0262	38.362	21.1554
27.187	38.1965	34.1527
31.0709	45.898	40.8931
28.1766	25.8547	20.7051
30.5084	55.6945	21.1418
25.3872	40.3472	47.4134
41.7731	26.04	37.0268
41.5419	32.7483	54.2775
46.1826	18.135	21.512
52.7845	28.4792	54.888
32.8943	20.2852	37.7741
32.6241	15.1475	37.7957
34.2198	30.6197	21.6142
43.2631	52.1253	46.0921
31.5971	15.0155	39.9979
25.2027	40.2738	54.1833
27.2661	36.9185	65.5385
41.9735	41.4335	36.8772
32.0367	50.0645	36.0523
50.822	40.2438	52.0928
22.172	42.6726	43.4917
30.8891	35.4869	43.342
33.4149	40.2365	56.331
29.3576	21.1567	42.2864
22.2149	47.0049	45.1733
34.829	57.3063	47.8422
61.0696	40.4669	69.2077
45.5573	42.1609	29.4853
34.5938	41.5562	66.4889
39.3434	22.3731	53.4823
40.8091	42.3457	64.9476
34.3007	35.9292	37.3592
39.8843	42.3945	35.7639
37.4061	32.6571	72.5307
42.9624	61.8338	37.6488
31.971	51.8887	55.0076
34.5173	57.9575	63.3111
43.0217	26.4483	24.502
44.4662	71.7221	43.0754
31.7285	42.8945	49.0897
52.3224	25.4118	51.8568
36.2015	52.0088	47.1365
27.3862	91.2141	24.9116
37.3761	69.9673	41.0585
37.3105	119.1775	41.2075
37.7711	89.7293	34.6945
34.2856	106.5469	28.7327
36.8239	100.3439	42.8465
34.4656	118.5674	47.6107
39.8586	109.3253	83.2244
35.914	89.1513	40.9559
33.0414	88.394	27.8025
46.7954	110.6537	42.9783
32.4541	83.079	28.5852
36.4272	111.5689	50.0902
67.5882	85.4818	61.1586
39.8961	89.2445	25.0104
40.2988	91.5976	58.4751
60.5188	80.4203	38.9226
15.4137	121.3854	43.1212
29.3058	103.8477	41.7926
38.665	99.0292	37.2914
37.5099	107.1992	50.6471
42.3484	79.8046	40.8967
44.3796	99.5718	59.5906
19.7094	57.9863	33.813
62.9381	91.9287	35.4614
71.0115	123.6999	29.3981
16.9198	62.4136	48.1016
32.3244	94.4072	45.9317
34.2001	103.7042	56.8379
34.0028	53.3714	45.2115
19.7189	99.1006	33.3688
16.0534	107.5913	45.2183
38.7074	102.6986	50.9942
15.7232	116.8272	51.442
68.4534	104.031	66.1565
43.8941	97.4568	52.0223
31.1986	91.0615	65.5438
29.7798	127.018	35.4467
42.0903	109.998	57.3032
15.8546	84.2553	52.0299
27.8324	121.2258	50.0692
35.2655	63.1562	37.0834
28.7622	108.25	27.0799
21.5376	111.2295	28.2081
62.8553	90.9117	45.8659
33.7496	91.5585	71.2862
35.3829	111.5145	34.493
33.8271	77.4414	40.098
20.5417	115.155	40.0756
48.5717	79.7038	41.3105
42.36	107.2965	56.292
92.2361	79.472	60.5713
55.827	91.6187	30.0748
52.9646	103.3932	25.0913
27.0119	73.8681	61.0944
25.8979	76.293	55.1983
44.1345	79.417	35.0756
25.8676	112.2894	43.1394
36.6064	87.1127	34.5121
43.097	83.4809	41.4433
40.8018	66.9658	43.5731
29.929	80.0231	63.7398
27.5713	87.2757	38.4694
54.1395	82.6878	44.8376
38.4575	90.9779	36.1064
33.8519	125.3288	24.4609
34.9768	76.9875	41.9315
63.9025	92.5367	42.9471
28	69.391	11.9588
31.6945	91.8252	34.6752
36.4633	103.8808	40.3379
22.7214	90.6167	33.208
28.1772	62.9111	55.641
31.1241	84.5447	55.6561
39.7001	73.6989	54.659
26.6684	77.959	30.2961
27.2087	85.3683	53.973
44.8347	89.7439	31.1381
29.1032	90.2484	71.1552
36.5522	87.4893	45.8664
35.4417	93.7923	61.2121
40.3939	86.2686	58.8402
44.5309	124.9126	31.0006
17.3559	78.7083	37.9856
44.3946	117.5443	
40.2504	72.9521	
7.6362	74.5899	
36.3393	102.4168	
23.1436	141.7435	
26.9212	117.6676	
22.7758	110.9399	
39.5747	92.7466	
34.064	93.0949	
40.6168	71.4296	
27.2036	73.3043	
32.8187	27.6429	
35.4886	84.4941	
32.4971	78.6631	
29.146	74.3298	
38.3848	115.174	
37.8237	97.6744	
19.2046	105.5991	
34.43	59.088	
36.3653	72.7576	
53.0375	88.0892	
39.4628	72.6868	
22.6541	109.4655	
28.7612	124.0335	
53.4403	83.7453	
48.281	62.5419	
60.8964	83.4876	
59.0012	96.3875	
61.1362	91.462	
44.6646	79.8832	
47.4476	94.0914	
31.7647	82.8488	
33.9522	78.7516	
29.9158	84.5595	
35.2402	56.9318	
36.1589	76.6884	
47.3876	113.2766	
33.0606	102.5475	
36.0678	86.1188	
25.6655	90.0042	
41.7426	118.9634	
48.8368	113.9582	
36.3352	84.3555	
18.8554	85.2006	
36.1714	108.6489	
49.9795	115.2169	
40.1588	74.4794	
45.795	67.9464	
29.6585	70.4558	
18.4488	92.2983	
29.4867	102.9068	
34.1909	97.3606	
24.4354	87.576	
27.3106	79.3093	
21.9997	117.9975	
29.9394	80.6248	
30.0278	65.2432	
23.3519	131.6649	
33.2201	122.9145	
26.0115	99.4716	
29.3791	84.5554	
36.5578	93.1946	
34.4592	102.0566	
52.7456	103.355	
38.6369	68.2358	
61.2333	61.2531	
48.2937	123.892	
33.8116	84.1106	
23.9408	114.9758	
25.271	71.1555	
23.9779	107.3616	
25.8907	67.3073	
33.0057	70.554	
27.1601	59.8782	
28.5954	98.1577	
30.1464	127.1807	
41.2301	89.4402	
35.5167	96.3428	
43.1513	80.1146	
64.5232	80.6012	
35.6996	107.7544	
52.0558	64.0559	
49.5117	102.2511	
13.4843	70.5592	
42.4712	108.5374	
22.7795	89.0211	
22.6219	81.5402	
38.2209	74.4523	
37.3373	100.0348	
32.6261	119.345	
32.5625	41.5326	
13.9141	77.5616	
23.026	74.9098	
34.6013	71.5407	
28.7458	98.9838	
27.7484	78.0325	
20.5202	67.7607	
35.7058	81.7759	
23.4465	46.0553	
27.5226	92.2355	
25.3966	60.1489	
28.1979	69.418	
34.7431	77.2943	
22.2473	62.0228	
30.3267	65.916	
23.7349	70.1302	
31.7428	98.6574	
48.4643	45.1157	
25.3683	95.4784	
27.0974	77.0811	
42.3652	75.1043	
23.9753	75.3233	
31.7725	82.2147	
30.8423	75.5156	
37.3117	76.3401	
45.5249	48.257	
28.4546	56.5651	
47.9185	70.5217	
36.3213	82.6926	
49.6289	65.7563	
47.625	57.2684	
36.896	66.9913	
26.1174	51.0516	
16.9863	40.4004	
53.372	57.6691	
25.5473	64.4286	
23.8183	56.4787	
28.3723	69.1631	
27.1232	60.3936	
38.2395	47.2634	
30.987	66.4948	
30.3597	76.5282	
29.4022	47.0902	
23.4351	77.2594	
30.7049	84.0198	
34.3382	55.4324	
28.0512	71.9256	
26.4799	52.7134	
42.94	69.6903	
34.7148	45.7759	
10.8148	54.537	
39.3159	60.079	
39.7775	55.353	
34.7549	53.8666	
43.0235	78.7253	
22.2795	49.1043	
29.4557	78.4752	
52.5085	99.6021	
30.6253	108.4712	
48.4526	57.4753	
29.0996	59.9305	
23.7823	77.3478	
32.2442	69.8558	
43.5055	90.0016	
31.9328	68.484	
23.0824	91.1225	
30.4537	74.7351	
82.6332	102.716	
34.6363	83.6256	
38.429	39.544	
27.9017	51.3884	
33.5269	106.7939	
25.8266	68.0543	
26.3262	78.1136	
28.5212	84.1215	
24.8756	54.4353	
25.8177	61.0719	
34.0185	64.7044	
33.8573	81.6282	
36.0224	68.238	
30.0489	87.3956	
41.1166	89.7705	
31.6129	77.719	
34.3919	60.4184	
27.7894	105.5223	
35.031	104.9039	
38.138	74.951	
33.6201	80.4013	
51.2776	31.4436	
43.4045	87.289	
17.6695	69.2037	
29.3011	71.2503	
41.3791	108.5162	
35.4935	53.2431	
23.8629	123.7877	
41.3777	96.3922	
47.1198	98.2925	
24.0432	102.4769	
36.7879	100.8011	
23.2476	112.6951	
35.8831	111.3043	
16.5244	99.1621	
30.4028	104.0924	
44.5802	33.5449	
28.6638	89.8851	
31.0501	85.1483	
41.3714	99.3228	
20.7856	88.5101	
16.3977	88.3565	
29.2855	19.8713	
37.9398	89.1631	
19.846	59.8841	
34.8898	81.1087	
24.5736	113.5546	
25.5119	117.4524	
35.3837	117.429	
28.1924	120.7601	
33.186	101.2782	
21.5532	49.8641	
43.0869	64.6471	
21.9704	95.1673	
26.149	67.3633	
46.2005	33.5333	
31.4693	64.0595	
20.2395	87.1984	
24.4502	70.6024	
21.9115	91.834	
16.8677	86.9056	
25.494	81.6191	
19.237	110.5664	
18.5859	110.5584	
32.8719	94.5524	
13.4295	78.6718	
24.5659	93.2025	
22.1931	109.6195	
19.3278	101.0139	
19.2981	125.166	
25.0747	102.3549	
26.8866	76.0652	
41.9691	81.2293	
21.6308	77.5928	
18.7881	88.2522	
22.4123	80.8392	
24.3096	82.616	
34.5179	106.9294	
21.2938	39.868	
28.8397	116.6176	
15.0223	40.3909	
27.3833	62.3949	
22.0689	65.985	
34.8371	58.1166	
50.2516	81.9686	
21.3804	78.981	
25.8455	42.5918	
23.2549	78.1366	
25.6159	97.9978	
29.324	42.0884	
31.8681	51.8137	
21.983	65.2569	
39.8788	52.3539	
24.1596	70.9328	
24.8077	102.4214	
51.1522	60.0253	
29.1412	67.6136	
30.4655	92.1552	
34.1307	97.3526	
19.7223	42.9269	
30.8846	86.8462	
16.1679	49.0136	
31.4091	46.7808	
17.5475	99.347	
27.5489	70.4824	
40.1604	66.9524	
48.7616	65.5253	
24.3128	56.6851	
14.7777	51.231	
28.2905	38.5641	
16.1957	43.5783	
23.4125	54.5334	
54.3125	59.0923	
29.2518	82.294	
26.8001	67.1187	
11.9698	66.1883	
37.996	45.0906	
40.6813	67.0685	
33.6643	99.1162	
30.3678	47.4182	
60.7808	75.3502	
15.1127	68.2531	
6.0079	77.2898	
5.4544	95.9022	
11.559	88.4757	
29.6016	116.7829	
31.7784	113.1866	
23.8393	56.1744	
44.7194	76.4722	
27.2084	116.9465	
19.8079	58.4462	
35.0323	68.7964	
37.0442	88.0499	
21.8707	44.7681	
39.3822	115.9393	
48.7017	98.4335	
63.3356	52.3532	
30.4554	48.4465	
63.8351	68.1355	
58.318	47.7225	
68.2838	76.4873	
46.2022	42.4432	
56.861	64.2903	
75.107	65.0211	
51.1156	28.8617	
34.5567	71.7104	
22.695	78.9978	
38.2221	71.6458	
6.0481	65.1037	
78.1732	65.5936	
23.2888	73.2588	
45.8462	95.9963	
37.8029	84.8968	
68.0413	72.2556	
34.9585	29.6818	
31.8709	47.2771	
30.8061	67.7126	
28.9591	56.197	
35.028	75.071	
13.5153	28.4108	
8.12	70.7623	
49.7523	83.4859	
34.969	82.9348	
41.3416	56.3195	
57.89	42.5279	
26.1352	73.9828	
29.8268	33.588	
30.3494	74.8148	
29.0817	98.659	
21.7963	37.0662	
28.4334	63.5635	
44.5485	81.7424	
56.938	37.7672	
48.8059	58.2771	
22.0486	63.4914	
29.1703	20.7961	
26.8941	66.0247	
33.8159	46.5577	
23.5291	73.2342	
36.9257	29.9131	
26.6957	20.9502	
26.8005	34.8159	
27.6945	50.5601	
24.5845	60.3623	
26.0437	22.2313	
38.1027	58.871	
19.3274	62.8107	
29.5811	59.4964	
35.9482	38.452	
33.2005	59.2539	
22.8133	22.3587	
27.3858	45.649	
28.1325	93.8547	
32.6039	45.7704	
27.7902	63.6635	
31.3251	39.1303	
27.5784	58.9339	
38.0269	49.4087	
28.4886	59.195	
34.4438	66.5171	
26.8581	55.3847	
12.658	78.2554	
28.24	48.7674	
21.3002	42.0845	
77.0055	87.418	
37.5925	48.3449	
47.8589	85.3389	
21.3998	55.4241	
25.6945	77.6033	
27.43	87.7308	
24.5505	91.729	
25.5273	54.9482	
46.7251	90.244	
33.3151	109.2599	
18.6909	95.8574	
22.6407	40.3959	
33.3847	70.5759	
23.3861	46.883	
36.777	63.1762	
33.8443	106.6913	
55.2678	36.2588	
28.0812	45.7193	
41.2508	61.6866	
34.8663	76.2135	
29.4948	62.4879	
21.4827	125.0085	
53.4084	93.7791	
42.1891	71.4779	
61.0593	111.9612	
42.4878	93.0614	
25.9417	68.0057	
40.4688	73.1774	
36.6918	64.368	
43.2251	48.2967	
36.5381	102.9198	
40.0326	94.6609	
33.6507	53.5433	
	87.054	
	92.555	
	103.7407	
	78.4165	
	106.797	
	75.8893	
	20.6797	
	91.4095	
	82.5385	
	105.1466	
	115.1051	
	94.7109	
	49.5845	
	59.9887	
	82.6514	
	92.5419	
	43.4657	
	34.5321	
	26.1727	
	62.6128	
	91.8045	
	26.4262	
	78.9133	
	81.3599	
	63.5104	
	11.7541	
	93.5743	
	80.5702	
	88.9311	
	71.5892	
	69.8751	
	98.3092	
	80.014	
	90.6388	
	42.8423	
	77.5764	
	78.8754	
	43.5046	
	41.272	
	53.6991	
	72.269	
	37.7317	
	45.2488	
	39.6177	
	58.4788	
	60.5412	
	43.5851	
	42.6883	
	43.4274	
	93.317	
	54.7456	
	83.9648	
	68.9226	
	92.0781	
	53.3259	
	100.2535	
	95.6391	
	29.4439	
	40.6247	
	101.7067	
	58.7615	
	101.7805	
	84.0422	
	68.8975	
	39.214	
	97.9155	
	122.5972	
	99.3419	
	90.3159	
	132.1914	
	60.5798	
	74.5797	
	68.1012	
	71.588	
	86.5287	
	90.9244	
	60.3187	

