mouse1d	mouse1e
1.2971	0.5238
1.9271	1.7174
0.9608	1.2282
0.5277	0.106
0.5207	3.4766
2.1057	1.8242
2.7589	3.1866
0.3349	0.5637
2.5733	3.0262
0.8756	4.7215
0.1186	0.2651
0.8054	0.2892
1.6287	0.9875
1.6096	3.1399
0.7057	3.7108
0.9713	0.8064
1.411	0.9384
1.3203	0.3843
0.4243	1.1473
1.2699	0.7517
0.568	2.983
1.0777	1.5169
0.7844	6.2446
1.663	2.9475
1.1038	2.3405
0.2377	0.3292
0.1609	0.3386
1.6019	1.3712
0.9733	0.4448
1.4243	2.2229
0.2967	0.6753
2.1128	1.0237
1.5875	0.7722
1.2721	2.0534
0.5745	1.5544
1.1112	1.722
1.0839	7.2873
0.3957	1.3534
1.391	1.9603
0.3783	0.2924
2.7367	0.7427
0.7857	3.3359
0.1586	0.6591
1.2744	2.1538
1.3773	0.4986
0.2096	6.357
1.2694	1.5307
0.7687	0.7779
0.6528	0.8976
0.2959	1.5431
1.5557	1.9482
0.7896	2.1876
0.9311	1.3982
1.1413	1.0558
0.2703	9.2915
0.5193	4.0618
1.6113	0.9635
0.8745	1.4309
0.2514	1.6145
0.1847	2.665
1.4917	4.8397
0.9755	1.7863
0.06271	1.9176
2.1156	1.0355
0.6612	3.3458
0.9932	5.3607
0.3965	2.6925
2.3087	2.4804
0.3481	0.8791
1.1055	1.1142
0.4867	2.0861
0.8132	2.4953
0.2308	0.9471
0.7321	0.4536
3.1932	0.9684
0.8028	0.9433
0.614	0.6252
0.5221	4.7813
0.6028	2.7047
0.7336	2.0976
0.8919	3.2408
0.899	0.7946
2.7963	4.4567
1.3928	1.9306
0.8946	0.9709
0.7034	2.078
0.1973	1.8652
1.0324	0.4834
0.02165	2.9539
1.3402	0.8436
1.4352	0.6505
1.6883	1.0223
0.4077	2.9619
1.5806	3.7471
1.0115	2.8577
0.2957	2.4637
0.2682	3.0362
1.3213	0.6749
0.1032	0.8158
0.2739	1.9954
0.9902	2.1834
1.2649	0.4409
1.3485	1.6776
1.5299	1.3418
0.09196	0.6972
0.2867	0.1759
0.3534	1.1745
1.2051	2.4402
0.525	2.2745
0.7815	0.6642
1.4868	2.2628
1.3278	2.0591
0.5161	0.4686
0.615	2.4341
0.7072	0.8904
0.8935	2.1728
0.9871	2.6242
2.358	2.9488
0.682	2.3891
1.2311	0.2788
0.7291	0.5533
1.712	0.966
1.712	0.4749
1.3343	0.9315
4.4849	1.33
2.2008	1.4535
3.486	0.6691
1.4558	0.5585
1.3266	1.8719
1.7259	1.1146
2.8602	1.7073
1.158	1.6014
0.8157	0.3432
5.989	1.8879
5.1304	1.1878
2.8071	0.9945
1.6629	2.795
3.311	1.7716
3.5228	0.3129
2.4435	2.3535
3.6241	1.5331
0.6406	2.6134
9.59	1.9311
1.6843	1.7487
6.0396	1.568
5.3635	0.8376
4.9207	1.4624
1.9624	2.7423
3.0143	5.2724
4.4796	0.1877
0.9479	0.3429
3.6559	0.265
1.8741	0.9873
4.2305	1.896
0.6141	0.535
2.7248	1.2961
3.2107	2.1218
1.2391	0.1071
2.2845	0.2422
2.2624	1.4125
3.4896	1.6006
8.7157	3.454
4.2261	1.7637
1.279	0.9613
3.5238	0.5273
3.7094	0.7823
1.472	0.5714
2.2	0.8632
3.2812	0.272
4.2536	0.7595
