mouse1c	mouse1i	mouse1j
36.3007	22.1336	6.0862
25.7691	22.4344	5.9667
26.6596	21.6721	5.1075
25.5147	21.642	7.1632
24.8668	20.7565	6.0532
25.828	21.5442	5.5999
25.5053	20.5443	5.3028
27.3738	21.9554	5.574
26.1575	21.349	5.229
25.448	21.3477	5.2676
26.0762	23.5932	4.6486
27.2469	21.5634	5.1178
25.1037	23.3867	5.0867
26.5709	21.0359	4.9825
24.7465	11.7869	5.5744
25.3547	12.2281	6.1199
	12.4172	5.2885
	11.8949	5.6429
	17.4158	6.1952
	11.9575	5.5413
	12.6689	5.3339
	13.1714	5.3273
	10.9199	5.2753
	11.1036	7.2028
	12.8002	5.549
	13.8708	6.5506
	11.1527	5.4017
	13.3168	6.0893
	11.8719	6.4574
	12.8235	5.2783
	10.7227	5.868
	13.2526	4.9385
	12.1459	5.4245
	13.0671	5.5339
	12.5416	6.3227
	12.2558	5.8952
	13.5027	7.6395
	12.0788	5.4766
	13.0664	4.6037
	11.2156	5.6821
	12.4707	5.3688
	12.8774	5.6198
	12.6414	4.475
	12.7059	5.287
	11.3084	5.6238
	11.8845	5.2398
	14.942	5.3885
	12.4745	5.7166
	12.5668	5.2147
	11.8096	5.359
	13.7406	5.9775
	12.5217	5.0198
	11.6447	5.2908
	12.3894	5.6678
	13.7087	5.2896
	12.8821	5.1702
	12.9401	4.5538
	11.5557	5.2262
	12.9317	4.4952
	12.905	4.8093
	13.0014	6.0229
	11.8948	5.4775
	12.506	6.3487
	12.1656	6.8994
	12.3221	4.5325
	10.9161	5.4573
	11.7437	5.1128
	12.2523	5.9339
	12.9658	5.791
	13.935	6.1714
	12.1537	5.5827
	12.873	4.77
	9.5234	6.1444
	6.9461	6.0624
	8.3556	5.5214
	9.6417	5.6255
	8.5531	4.8364
	9.2169	5.3565
	8.7086	5.686
	9.9102	5.9716
	10.4699	5.674
	8.3157	5.7765
	9.2303	5.3093
	8.3944	7.2361
	9.2616	5.5445
	9.452	6.5095
	10.1906	5.7874
	9.3091	14.0685
	9.8463	11.7179
	10.5406	12.718
	6.1937	12.5726
	7.1463	11.3835
	6.347	10.0603
	6.6801	12.6577
	8.2831	12.7207
	5.3772	12.8095
	9.0376	13.712
	9.1154	6.5855
	5.9997	6.882
	6.4552	8.0659
	13.8928	7.9591
	12.7594	7.6535
	13.6256	7.9098
	14.0151	6.6739
	15.1794	7.5355
	14.655	6.9759
	15.1444	6.8807
	14.2265	7.1683
	14.6877	7.0713
	14.805	7.3861
	15.5256	5.3615
	14.7715	5.5575
	15.9507	5.4343
	16.1975	5.2311
	17.1593	5.8959
	15.55	5.4144
	15.6295	5.1551
	16.8156	6.8786
	15.4222	5.6228
	15.3078	5.8959
	15.3912	5.9619
	14.8418	6.3242
	15.8398	5.5654
	14.0095	5.8236
	13.978	5.4485
	14.0045	5.6882
	14.4498	5.8726
	15.6509	6.1955
	14.9367	5.1274
	15.9909	5.0793
	15.7956	5.8586
	14.8111	5.4978
	16.3436	6.3721
	15.1391	5.6294
	13.2118	5.2908
	17.7043	5.7139
	18.3591	4.3789
	18.0669	4.4045
	20.446	4.3214
	20.0991	4.771
	20.6082	3.8329
	20.5749	3.8261
	21.8362	3.6138
	19.9556	
	20.483	
	19.4666	
	20.1365	
	20.4177	
	18.5621	
	20.1102	
	20.7127	
	11.1599	
	12.384	
	13.3139	
	10.9304	
	12.095	
	13.5245	
	13.4823	
	12.159	
	13.5204	
	12.1531	
	13.3339	
	13.7482	
	13.8146	
	13.6675	
	11.5065	
	13.1635	
	12.6584	
	13.1424	
	13.5404	

