mouse6c	mouse6d	mouse1k
127.1636	126.5168	179.6502
124.3789	56.8472	179.8484
100.9859	63.1529	158.789
115.5902	111.4733	164.5716
138.3604	75.5584	161.7724
107.9297	115.0725	153.2365
106.8632	124.9619	166.5499
138.5229	107.2391	186.2898
104.2451	101.0292	167.232
104.6346	84.8851	162.568
153.2087	70.4419	160.5101
113.9523	101.2943	152.1756
116.1996	105.3461	168.4127
131.3443	89.5465	173.2937
157.3575	110.0998	164.9645
122.0348	77.5706	163.8169
128.2721	103.5144	187.1943
130.9256	116.5327	171.3105
157.2608	110.7675	163.5529
110.557	83.4672	156.2419
101.1761	124.9486	186.1637
142.269	109.3355	160.2795
144.1439	100.1673	162.186
122.025	100.1672	157.8121
113.6579	90.7137	161.4134
145.3145	101.6345	156.2516
155.812	95.8816	180.3101
131.3408	123.7515	181.8561
112.7019	97.2422	189.7254
144.3437	95.1292	152.5142
165.9251	151.9209	179.1811
120.1672	109.5582	177.6349
122.6249	95.6837	185.1571
126.2393	98.0149	181.8366
129.191	97.5443	169.6906
161.258	99.804	184.0512
120.1017	112.9223	170.0164
130.9179	134.2266	190.4614
97.4974	108.967	161.4798
135.0684	81.1619	148.9538
139.008	94.6946	177.3199
128.4903	75.6011	193.9
104.1686	109.4422	175.1559
140.3445	104.7942	173.5632
131.0675	76.6186	167.1769
123.4878	73.0979	184.1564
136.9597	76.0663	184.8293
119.7328	72.157	186.5561
145.751	145.5656	156.6106
103.0178	79.198	182.5896
154.9775	88.481	166.597
126.9319	86.9353	167.8112
125.594	104.7144	189.7775
93.8985	107.0178	182.593
128.5858	120.6489	168.5344
126.6089	134.2422	159.7399
147.3603	128.32	189.8758
171.6595	69.8383	175.6281
108.3364	53.0565	180.7485
91.6915	117.7337	173.3479
93.7698	107.2884	172.9755
126.2011	100.8956	171.3994
132.1692	119.1618	174.328
123.5227	135.8345	186.1814
134.0567	95.1067	170.8266
168.9331	104.3245	150.9276
129.1215	124.1399	152.5713
121.0853	110.0779	145.1281
136.1318	62.0223	177.7352
114.4832	77.3311	176.6752
141.7364	58.4644	160.1172
129.4322	47.4295	171.949
113.7594	115.092	162.8048
147.0063	50.7843	182.5371
161.4931	106.0813	175.7225
161.794	115.1956	172.9649
