Eso-0-6c-1	Eso-0-6c-2	Eso-0-6c-3	Eso-0-6c-4	Eso-0-6c-5	Eso-0-6d-1	Eso-0-6d-2	Eso-0-6d-3	Eso-0-6d-4	Eso-0-6d-5	Eso-0-1k-1	Eso-0-1k-2	Eso-0-1k-3	Eso-0-1k-4	Eso-0-1k-5	Eso-7-1c-1	Eso-7-1c-2	Eso-7-1c-3	Eso-7-1c-4	Eso-7-1c-5	Eso-7-1i-1	Eso-7-1i-2	Eso-7-1i-3	Eso-7-1i-4	Eso-7-1i-5	Eso-7-1j-1	Eso-7-1j-2	Eso-7-1j-3	Eso-7-1j-4	Eso-7-1j-5	Eso-12-6e-1	Eso-12-6e-2	Eso-12-6e-3	Eso-12-6e-4	Eso-12-6e-5	Eso-12-6g-1	Eso-12-6g-2	Eso-12-6g-3	Eso-12-6g-4	Eso-12-6g-5	Eso-12-1a-1	Eso-12-1a-2	Eso-12-1a-3	Eso-12-1a-4	Eso-12-1a-5	Eso-18-1d-1	Eso-18-1d-2	Eso-18-1d-3	Eso-18-1d-4	Eso-18-1d-5	Eso-18-1e-1	Eso-18-1e-2	Eso-18-1e-3	Eso-18-1e-4	Eso-18-1e-5
174.0283	184.0807	185.9644	169.2614	174.4325	186.0013	178.7167	172.8924	185.59	172.3913	159.2707	141.6124	166.9128	162.1047	143.8406	22.8767	37.5562	25.8495	29.4534	39.7291	41.3627	34.6788	41.7129	33.3035	46.4765	27.1378	19.3596	30.4271	20.1389	47.34	3.2599	8.1234	2.9025	8.8795	9.8108	2.7441	3.6245	5.6441	3.942	3.7386	7.846	7.6351	7.3842	11.5602	14.0529	0.2483	0.4645	1.8599	0.4416	3.0143	1.4584	0.3034	1.4886	0.9005	2.665
180.9767	198.7751	175.1987	181.208	171.9287	189.4412	180.2251	163.8589	161.9709	171.9662	171.3238	158.23	153.8898	126.7522	153.374	22.1534	24.9097	37.3872	35.1751	35.0732	53.5239	47.8884	34.3079	24.781	14.551	30.7578	34.2895	18.0353	24.9823	19.6171	4.5405	4.3908	5.7615	3.7096	4.0833	3.5842	2.4496	2.7229	4.1148	3.5194	8.9363	15.311	4.3946	10.4451	3.982	0.2578	0.6628	1.644	0.4418	4.4796	0.2978	0.7146	1.4453	1.9114	4.8397
176.7178	180.3312	176.4884	187.4937	191.0939	200.4447	164.8895	159.843	158.7517	165.298	178.5757	157.8552	123.2623	127.6399	138.1422	35.9158	36.9101	27.3775	37.8326	27.5719	38.4184	37.6815	19.2072	25.7439	30.7205	30.2333	17.6056	31.9534	25.5747	14.79	4.8887	7.4637	7.335	10.2854	8.9501	8.7729	0.8299	5.3595	5.1964	3.1179	8.2997	5.9374	7.8772	13.0433	7.0707	0.7499	0.3981	0.6068	0.5743	0.9479	0.1041	0.9131	0.9719	0.3994	1.7863
184.3085	178.8596	158.8851	175.105	166.9389	184.8086	156.9882	176.9503	160.1465	172.3406	151.0585	123.237	151.4685	120.5898	112.6089	44.2252	67.6951	33.9719	47.0625	25.4319	41.6038	46.4769	19.9805	27.5259	27.4888	56.6887	28.0947	25.4762	38.4029	23.5367	3.7833	4.9271	5.6736	7.9743	8.0822	2.2292	5.3018	2.7588	4.1515	3.5241	4.5219	4.5297	7.7775	11.7571	3.2188	0.06052	0.5219	1.8087	3.7443	3.6559	0.9212	0.9598	1.2568	0.6038	1.9176
158.7993	178.5404	178.7654	185.4452	173.7825	167.8536	144.4569	157.7685	149.431	169.2282	151.1921	164.0254	154.2296	144.9799	165.914	32.894	29.7886	32.9979	28.7513	30.9177	37.5454	33.5933	18.8094	41.6431	33.8352	22.9139	21.4707	34.9948	20.6639	23.1256	2.3598	11.8261	11.5282	4.7192	0.996	2.9452	7.8471	5.7524	6.1506	6.1906	8.7219	9.944	6.3306	9.9596	9.9472	0.1189	1.086	3.2763	1.1126	1.8741	0.4967	1.2204	1.588	0.3045	1.0355
194.0921	168.2414	162.074	182.8881	179.8455	158.8375	170.8943	169.3009	163.5424	166.0475	149.7856	159.9422	163.141	150.2883	137.8695	34.5616	21.4075	25.181	53.8711	24.7325	28.7738	64.2272	35.348	42.4712	34.2236	33.4107	19.5972	37.0502	28.2064	28.7491	3.3923	4.8022	8.5425	3.1178	7.3751	2.6394	3.2092	4.3831	4.2182	14.4407	5.3886	6.1306	5.429	19.9122	4.5485	0.1561	0.8513	0.7144	3.4473	4.2305	0.3771	2.8291	1.2919	0.1869	3.3458
171.2085	164.9842	164.6025	172.841	160.4476	161.2736	176.23	160.496	172.9865	188.2348	145.3233	136.2065	163.5404	154.8356	146.5143	37.4604	43.4123	22.1497	42.878	32.9653	46.7167	30.7774	13.3384	30.4086	57.3815	21.0713	23.8351	27.8222	33.6904	21.0593	5.0075	3.9124	4.8056	10.2274	9.5955	4.7454	5.4198	6.8793	2.2616	5.0514	7.4604	8.8318	12.3126	9.3032	4.477	0.6764	2.1513	2.8653	1.2525	0.6141	0.4833	0.6113	0.7158	0.5781	5.3607
167.6236	186.824	190.2601	181.6562	176.047	159.7958	183.391	175.0613	181.2119	180.8251	154.3028	163.5461	167.1684	127.1444	145.8082	32.9476	48.4079	39.4948	41.2134	29.4559	64.5244	36.0622	21.2516	35.07	44.6206	24.6712	24.3644	33.9109	26.8514	27.7943	1.8194	5.6197	5.3327	22.0499	11.8341	4.3013	5.0806	0.9055	5.873	3.9431	3.5121	4.9159	16.3226	6.2136	7.0886	0.3122	0.5662	0.9285	0.4203	2.7248	0.3247	0.6197	1.3182	2.362	2.6925
177.0023	168.3411	188.0814	172.2162	167.4228	182.1013	175.3288	154.2906	172.8768	174.2552	174.1355	165.3757	161.5699	165.2171	123.9553	38.781	50.0984	54.7609	43.2086	31.362	53.8988	26.4767	28.2268	40.2603	25.7864	29.656	20.2283	34.2824	40.0504	27.603	6.2562	4.5253	5.2063	6.8937	4.4032	7.8196	3.8077	5.4819	5.3175	2.764	5.0809	4.3073	5.8753	12.3792	7.38	0.5787	1.0526	1.634	1.4059	3.2107	2.2553	0.4949	0.3752	0.1685	2.4804
183.6818	176.2835	168.2675	172.3847	168.0886	200.124	161.2628	165.3816	167.0312	182.2387	163.9391	163.5257	103.1488	161.5184	158.9784	44.5582	23.1413	31.9524	30.3333	27.8513	45.8092	35.5329	39.5982	33.7495	54.7117	21.3544	28.9819	24.9789	19.7418	37.9216	4.5279	2.3632	4.817	8.4943	5.9552	6.1435	1.9058	0.6809	5.4176	6.0976	7.8359	8.3254	6.6319	17.74	6.6345	0.1846	0.2512	1.0588	0.8719	1.2391	0.2407	1.8681	1.9899	1.6543	0.8791
