mouse6c	mouse6d	mouse1k
170.7109	165.884	155.0195
174.9874	128.1229	144.4682
164.573	169.2063	146.1185
163.4389	153.2554	136.5784
168.3534	144.4233	161.0482
173.7592	133.491	138.0014
171.2181	163.2094	161.5009
163.9246	166.3339	138.404
152.2415	143.9615	155.021
140.662	176.3038	159.6141
173.7724	140.8543	133.4821
175.8293	171.8212	134.2233
174.813	162.6519	135.9685
164.5446	169.5906	162.2078
120.7745	130.3188	160.0578
127.6481	170.1649	142.5504
163.152	103.6681	136.1004
171.1899	98.4319	137.7851
171.1779	179.9727	160.2949
165.2765	171.3688	160.8726
145.8351	157.3027	156.0311
176.772	153.384	147.8544
158.4244	159.6266	147.0221
177.5965	172.1983	133.2502
146.8987	170.0727	137.4722
165.3121	170.4192	146.2193
143.9686	112.3044	149.8585
149.8504	156.9976	154.3321
161.5881	118.9055	146.3499
169.1363	168.5512	155.6234
175.4365	177.2146	142.7631
159.0198	135.7588	128.741
180.4789	164.1522	155.1696
96.7416	172.6686	157.6554
161.4439	151.2157	134.8844
137.7288	149.2345	134.1455
163.5271	165.9639	150.4743
167.6179	157.0638	142.092
173.886	158.6584	149.8146
169.5523	162.1646	148.8069
151.0201	158.4198	148.7419
179.1486	180.6066	151.1808
158.6031	151.0677	154.2752
173.5917	170.1735	148.3726
166.5661	172.9554	156.8926
151.4619	174.3892	153.0809
149.2726	170.854	141.1067
151.8776	160.2336	145.7273
150.3645	154.6447	152.5236
145.4028	152.7057	155.2071
151.4022	162.6391	129.2364
163.7924	108.0629	143.918
123.6876	167.7352	153.6752
175.8835	128.5954	145.291
169.4652	86.6335	148.0224
162.6882	143.2494	143.3003
171.5261	174.7857	147.7354
163.2425	149.1763	155.6689
184.772	145.129	142.3072
159.1815	153.7706	163.7396
171.0085	146.6324	149.0958
178.3985	156.299	161.2073
86.9199	151.9921	166.1574
168.899	137.3353	156.4216
171.0884	140.1689	173.1435
151.6019	161.335	129.6331
143.3058	142.3424	134.5739
154.3613	140.4277	155.1127
153.8866	164.1909	128.746
158.5499	155.7337	136.379
195.8495	177.9614	149.3821
176.4812	158.4665	140.3858
193.1188	159.7517	156.5768
179.6351	164.4502	142.082
189.7948	100.783	148.9931
156.2709	110.3902	159.6469
193.9499	131.1629	146.0401
186.5784	125.157	145.9494
163.8198	165.3646	144.9324
184.8697	139.4841	135.7633
192.2485	153.507	149.4319
169.2177	132.9634	139.6266
196.6189	162.4307	145.1481
180.9535	142.7813	145.1268
189.2477	171.9564	147.7588
180.5089	176.2482	149.449
192.7437	106.8927	148.9209
173.4066	96.9777	141.7795
175.7672	170.0479	155.3492
191.7683	122.5446	147.416
194.4717	137.8935	155.9922
181.1808	120.6229	146.4989
166.4962	146.57	147.0929
188.6333	148.3817	153.6492
164.9737	139.0024	164.6849
188.8801	141.9527	156.7151
173.5309	124.2619	154.5902
186.8923	139.902	146.1833
176.1458	152.4193	156.0839
185.1771	139.941	151.303
188.2772	140.8048	143.6643
184.9154	128.4934	154.2873
100.7915	132.7889	145.4593
190.203	142.2476	143.1552
191.4905	137.9504	134.4092
191.947	128.7239	146.3358
188.1901	107.0193	155.468
194.8023	128.9126	158.3032
193.3902	111.6145	145.5328
168.5105	140.848	159.8924
184.4626	146.4841	153.3974
162.4395	140.4341	152.5491
190.4991	157.9113	121.2801
195.471	131.7917	147.6457
169.5465	143.0116	151.4924
160.2131	140.5474	146.9709
189.7323	143.9173	129.9323
157.9777	133.6153	157.5372
185.4743	141.4936	144.2472
164.8056	158.8884	155.2393
