mouse1d	mouse1e	mouse1f
2.7086	7.6644	0.3662
1.3034	1.1774	1.5476
1.7158	5.6014	6.6462
1.4248	2.0475	4.2818
5.0255	1.1684	3.2353
1.6172	5.3683	3.7847
2.559	2.5852	2.1307
0.08788	1.9297	4.5648
1.5322	2.4031	1.3062
1.3046	4.3591	5.3319
1.0074	1.2428	2.8248
1.1414	1.7047	9.3322
1.4197	2.4444	4.093
2.8366	1.1598	3.3159
0.8768	1.6306	4.0576
1.2518	1.5645	5.2754
1.4379	3.2492	2.1795
1.5676	2.9116	3.2009
0.49	4.811	1.2126
1.2984	2.2304	6.1951
2.5797	2.7928	2.8977
2.7529	1.7299	2.6002
0.5232	4.6613	3.1634
0.4604	2.2877	3.1487
1.4772	2.6788	1.3646
0.8593	0.6949	2.2113
4.1255	2.2389	3.3599
0.1719	3.0507	0.3939
1.9368	2.1115	0.569
1.0212	0.9995	2.8436
0.8794	1.3477	0.9291
0.3892	3.8251	2.0411
0.6312	3.1043	0.4693
3.0633	3.9102	0.4067
0.7761	3.2708	2.9957
0.09091	2.2406	0.4111
0.9082	3.7528	1.1515
0.8004	3.2578	0.06431
2.664	1.1514	1.8757
1.0232	1.1197	0.5664
0.6788	1.9696	2.6704
1.2558	1.2179	7.8595
2.3616	2.2353	5.4078
2.7122	2.7016	3.5888
2.6743	0.2547	5.0752
0.277	2.0657	3.1327
2.3456	1.8106	1.0349
2.1958	0.8286	2.3444
1.3383	2.9076	3.3859
1.205	3.8207	2.1267
1.193	0.2292	1.7931
0.02233	0.4856	3.5132
0.9473	1.7946	1.6873
0.07759	1.316	3.8596
0.0729	0.5233	2.2382
1.1759	5.3467	2.7822
1.487	2.1453	1.2271
0.06627	3.8	2.821
0.9071	1.4356	3.3737
0.1454	3.0921	2.8094
1.2639	4.137	5.3195
1.26	2.7225	2.5395
1.3975	2.1025	2.7403
2.5438	2.2479	2.1772
0.5558	1.3644	1.7858
0.05181	3.2175	1.7981
1.1645	2.1677	1.8078
0.9088	3.4931	0.8448
0.6674	2.3612	0.6324
1.297	2.5182	1.7681
1.7929	2.4713	1.0126
0.7409	2.611	1.975
0.8627	4.3659	2.0009
2.9294	1.6782	1.6886
1.4532	4.2969	1.7575
1.3955	1.8891	1.237
2.9579	6.965	3.703
4.1238	8.714	1.9733
2.0111	1.2142	1.1807
3.5112	3.7967	0.5848
8.771	4.5	2.8517
5.7684	2.0492	1.1087
2.0889	2.9869	0.1448
4.163	4.5753	0.3234
1.9776	3.096	0.1374
2.9664	3.8845	1.8496
1.5195	3.8771	2.7612
11.6588	0.9438	1.4543
2.8788	1.9131	0.804
2.3456	2.0798	0.2911
4.2721	2.1139	1.1921
1.9961	4.4856	3.0684
1.8707	6.1249	0.07475
1.0374	4.1891	2.6265
12.19	12.9259	1.7885
4.087	6.0159	0.6124
12.5442	2.1402	3.1821
10.8779	2.2186	0.247
7.2757	5.2043	1.8349
5.9045	3.6063	1.5928
2.6489	3.2144	2.702
11.5088	2.246	1.2951
10.6175	1.7438	1.45
1.7268	3.389	3.1218
13.2308	2.0132	0.07536
2.9825	0.6806	1.7314
5.0529	5.151	0.1499
3.502	0.797	1.7579
