mouse1e	mouse1f
9.6424	3.5318
23.6335	6.2261
8.0124	5.072
27.0924	4.8726
50.1779	7.0808
20.4841	11.1849
38.9238	5.8936
57.2024	11.334
35.7621	6.1859
29.0327	4.9397
8.3677	7.1242
46.7978	9.9311
29.3014	7.7154
32.0852	17.453
39.7786	3.4633
33.1181	15.6374
39.9556	9.1082
32.6396	10.3405
35.3544	5.9811
21.3007	4.8502
34.114	7.2248
19.0683	3.1918
32.8821	8.0606
20.7554	4.4246
27.0603	1.1587
29.962	2.9369
34.9127	4.9729
35.2251	7.668
53.5268	12.5627
30.2987	10.6353
33.3114	4.649
26.8615	8.2727
9.9344	5.4122
10.1624	4.2911
41.5986	5.1658
48.1134	4.2318
28.0138	3.4846
47.7404	4.9866
33.7368	0.9171
8.8678	6.6525
33.6375	2.2492
9.0972	3.9692
29.206	6.7334
42.352	3.3415
67.1544	2.9703
21.6797	1.626
59.9021	2.7931
36.1347	2.3887
15.0729	3.8488
9.8501	5.4931
27.4496	4.5779
32.7174	7.6645
39.3883	4.2994
24.3648	5.0645
43.2234	3.8236
27.0731	5.3962
10.6083	2.4022
24.7884	3.1716
22.6372	4.0941
55.572	3.1605
26.1548	5.2845
26.8799	5.9903
15.3874	2.3174
59.5475	2.3209
26.4814	5.9454
12.6057	2.5801
48.0758	4.1551
10.4605	1.6385
42.9819	10.0999
18.5906	2.2764
11.919	12.3636
12.7467	2.239
25.2495	4.147
30.811	5.5402
21.5299	8.317
47.7137	21.4392
32.2105	5.1497
36.119	8.7525
12.1084	2.2786
20.913	7.7959
46.482	0.676
12.952	10.4648
20.7893	3.8106
14.4878	2.2599
21.1761	13.3937
25.5388	3.6399
14.4783	4.7562
27.8331	5.8546
14.416	5.9006
24.0424	2.0135
20.1453	14.5917
8.726	8.686
35.9188	14.2281
11.7846	3.5529
11.1561	5.0271
20.1828	5.5158
8.6478	2.208
34.5006	65.9158
7.8591	1.8106
50.4267	3.6201
11.1213	19.8865
21.9485	11.032
23.3738	2.1767
8.2615	42.9615
8.2955	1.7625
30.6035	1.4918
9.873	2.6108
27.3872	1.294
20.8591	6.2483
36.556	2.018
8.689	2.039
17.9335	2.0097
48.2407	9.3212
23.059	9.1891
34.8934	1.5146
40.083	2.3904
29.4538	1.5105
34.1093	6.9534
27.8696	4.1165
33.6036	8.3327
15.6833	2.0958
38.8288	1.423
15.4762	5.4954
25.4294	6.747
26.139	7.1062
24.8501	9.682
14.9337	5.5558
22.3545	0.2456
17.6781	3.136
27.9153	1.9691
18.1993	0.2791
15.1927	0.2905
31.0922	1.9035
52.858	0.7805
43.3521	1.3848
47.7228	1.4871
52.8939	2.5865
31.5188	0.3809
54.2017	2.3764
32.7172	3.3361
38.4489	4.8971
35.4234	1.6052
35.4468	19.9044
29.6493	1.6367
52.0647	6.8304
32.5107	8.8521
43.1712	4.7838
38.3087	3.4711
37.4502	2.9721
21.221	2.2076
59.8621	5.4803
25.756	6.4776
21.2873	2.7145
31.8102	6.3799
16.4054	3.4505
35.5042	3.1998
65.261	3.2834
35.4521	4.1287
30.5156	4.2526
20.5619	1.7042
59.6707	5.059
53.368	3.2379
35.0086	1.1479
14.9797	7.201
37.4811	3.1117
14.5703	7.6034
55.0559	1.7934
18.8028	7
38.4753	5.5049
18.7735	3.713
41.5034	9.4908
32.9184	2.5149
23.3091	8.369
33.9902	7.0147
23.9062	3.6857
51.7551	4.9068
25.4912	3.6661
27.7354	6.575
16.79	2.8895
32.1431	6.564
36.2058	4.5236
30.9383	3.4997
32.8545	4.057
51.1809	2.1912
27.1865	3.1256
31.3985	7.0946
31.2861	2.1104
47.8365	2.5666
61.9371	4.6757
35.785	3.1464
51.1517	7.2311
69.3833	6.2294
23.2541	3.416
31.8933	5.5735
41.056	3.1255
55.1691	7.0505
38.9109	3.4051
56.2302	0.9288
55.9555	3.3187
24.7242	6.3062
34.0298	8.5154
24.1097	8.7063
25.5638	6.0903
28.2989	3.0511
44.4479	8.8559
29.7634	7.0067
29.7627	1.9543
16.0961	20.1835
80.6466	12.9482
64.8568	10.8869
56.3073	5.0087
43.7386	0.4657
33.948	2.6021
29.4717	12.0979
13.1632	37.9381
20.8932	5.2582
28.8036	5.3525
50.4298	20.3663
27.8589	7.5111
41.7925	9.5892
30.0659	6.4258
14.0317	3.2703
12.2573	7.8859
12.1465	7.0772
38.1387	1.5029
13.0553	6.3411
50.5188	2.2646
48.4873	15.9761
40.7394	3.4129
11.4453	1.465
15.9416	3.7699
8.3364	4.3563
15.7438	10.7573
37.3087	2.7891
9.4638	5.1317
50.7705	2.727
63.6464	4.4793
14.5863	8.912
61.9178	0.8691
38.9291	3.0638
15.1541	1.9147
34.2998	4.0512
25.9693	10.9251
58.192	1.1995
9.3583	2.912
28.2534	6.0444
10.4756	5.1011
19.7673	9.8922
38.8559	8.167
31.5467	5.9859
16.8731	5.6323
30.4309	5.0719
23.1676	14.0143
20.9108	5.9296
27.8248	5.7649
55.7895	3.5545
26.7384	8.632
42.4155	6.8276
18.4222	6.673
47.8745	3.3248
43.8801	4.1588
21.6599	3.5669
20.2783	2.613
20.757	1.0014
32.3911	2.2627
26.113	5.8942
60.8759	6.0634
37.3177	4.9155
19.0527	21.1133
34.9234	6.2742
35.8864	2.7077
33.956	23.2979
55.1539	4.4975
24.0433	1.7745
33.2064	3.654
44.8182	7.1723
20.0533	2.8825
34.3191	5.2646
31.4702	1.7135
46.4686	5.2514
56.0885	2.4495
27.7312	1.1819
31.4655	6.9452
48.6609	2.2922
30.3158	4.8696
28.8492	24.1092
20.976	4.0771
25.7197	5.9731
25.6148	0.6522
27.7165	9.0469
25.5425	2.5048
30.6006	6.4556
42.1071	16.9459
17.1796	5.9643
30.9154	1.9944
18.4987	0.7599
27.0543	7.2622
26.59	2.8663
30.426	3.4126
34.8743	3.3444
19.986	1.5809
23.1698	4.3289
45.3673	1.2135
38.8823	2.111
55.8926	2.5126
35.3962	0.7598
22.9242	2.1099
23.0649	6.6327
22.9719	2.0163
46.9943	2.1644
40.1042	5.9468
22.9525	2.9895
32.2085	1.2562
26.3439	9.3293
44.0499	5.5438
45.5688	1.7563
60.3695	1.592
28.3397	3.1362
40.0326	7.4614
34.9539	4.8065
38.6581	3.9835
54.7379	2.3337
19.1753	3.6617
34.9261	25.9905
30.6137	23.0577
47.5483	5.0431
19.4361	0.996
37.7227	2.1128
36.6216	9.6209
46.7886	2.1494
61.4209	1.141
45.0336	2.6215
35.3727	1.7732
17.824	1.6023
26.2992	
29.0162	
40.3495	
42.7744	
32.1954	
18.5839	
27.977	
31.3478	
25.9891	
32.8885	
31.6501	
24.6319	
44.7478	
30.335	
40.6438	
51.9991	
60.0388	
25.3573	
51.845	
42.5353	
23.3842	
31.138	
57.4177	
39.4282	
19.395	
29.5816	
47.8065	
47.011	
28.7742	
23.0854	
25.1312	
20.3884	
35.7439	
25.2539	
30.383	
48.857	
40.3138	
37.3626	
18.1507	
70.8007	
30.0589	
33.2197	
23.8705	
31.2636	
44.8733	
21.8518	
64.4375	
21.81	
30.4137	
31.1492	
34.7798	
34.772	
8.0061	
45.3324	
9.2889	
14.9175	
8.5929	
14.6888	
6.5593	
8.3428	
44.7169	
32.9516	
27.6176	
65.3319	
11.0191	
32	
54.1022	
31.5278	
18.309	
52.2367	
28.9509	
13.6744	
44.6388	
47.814	
66.9337	
83.0503	
51.4575	
29.3493	
25.6225	
50.8561	
69.4358	
46.7319	
51.287	
70.364	
36.3841	
42.7812	
83.7997	
15.8713	
43.3165	
49.9618	
9.8286	
16.0832	
29.6465	
30.4355	
15.9687	
24.0768	
40.8967	
25.0142	
27.3386	
20.5634	
26.1528	
22.5483	
35.3541	
27.3283	
39.1992	
16.2541	
36.6088	
17.5609	
26.7758	

