mouse6e	mouse6g	mouse1a
44.3384	47.1119	15.1405
74.2685	31.9838	17.6729
55.1006	24.7848	11.5765
69.6365	71.7863	10.1213
31.5947	39.379	9.9457
69.9285	38.3846	11.3337
33.3021	31.3985	15.9812
51.3946	27.1318	17.1299
53.7239	41.4313	12.4362
22.5082	28.9491	6.2421
41.135	44.3346	16.0571
38.495	49.511	15.7316
61.5159	66.8991	7.519
24.6622	54.9572	17.2247
70.8264	35.9282	13.5648
54.3251	40.8624	5.3206
72.726	33.4616	15.0628
72.6274	44.6744	8.6065
28.8003	18.48	6.9462
59.8117	38.169	6.0055
79.4588	50.6729	22.1911
99.9947	53.5194	6.1647
55.6448	34.3403	9.692
26.2472	35.9357	18.0208
63.3622	36.3859	6.2952
48.8939	25.4764	18.3514
19.217	55.186	7.9071
41.52	22.5525	7.147
55.0995	19.3793	11.6281
33.5047	38.3197	9.1977
73.0454	41.9757	7.8054
42.4063	33.7263	5.4541
73.9632	27.7288	6.0361
71.9117	19.9172	9.1484
77.1046	25.1154	12.1797
103.1085	58.3387	13.6795
61.3161	33.4155	23.077
84.5637	31.6985	9.561
45.0157	60.2457	24.9009
63.2528	29.9471	4.082
85.683	29.7814	11.521
63.2917	19.551	14.8392
76.2733	25.6585	18.6332
44.6581	20.5398	17.3663
55.3546	29.7727	23.7027
40.2092	32.3941	15.8115
78.4956	45.0342	43.7648
35.4324	25.3635	29.5601
37.637	34.9777	19.6219
63.1664	17.7604	11.4849
49.7181	18.9914	14.5179
40.107	24.3971	8.151
70.0809	30.9952	11.661
30.4503	21.9957	14.6962
46.3628	27.5626	14.7447
70.2507	23.709	16.554
45.6672	32.0694	15.5059
49.0843	25.8253	9.9949
31.6411	23.6254	10.0233
31.9137	32.5285	8.7829
64.7173	30.3769	13.3196
15.6232	27.8311	11.7157
39.2066	23.5631	9.7407
54.0574	36.853	11.2132
82.1701	38.3522	9.1194
33.8824	63.6481	37.2036
83.2256	33.4648	23.9752
20.6048	24.9166	10.9724
24.7226	54.9327	19.9008
30.6406	19.7466	14.7488
59.5198	33.7311	18.0854
60.5272	12.3847	16.6784
59.0547	34.6534	18.3777
25.0539	19.335	10.5726
75.326	12.1212	37.7922
45.1731	21.2307	6.5311
50.847	16.0571	4.2164
53.6888	26.803	18.6661
45.5683	21.4901	11.5768
32.8139	50.8088	7.9188
40.6821	14.364	10.7496
12.5415	51.7937	10.995
51.9003	36.3921	14.5731
58.622	24.8606	16.1748
55.2637	36.5058	5.7003
60.2845	25.4664	6.0756
78.6601	22.4666	10.6053
61.7548	34.4077	5.8703
59.8567	24.3903	4.6537
39.3217	24.7978	8.341
68.3605	24.5953	9.4454
23.4651	26.3117	21.1851
52.0821	21.0525	18.5361
62.8271	61.3322	10.5461
45.1786	12.2469	15.5861
21.3928	26.1561	13.7124
36.8026	17.0622	14.7044
10.4242	51.3048	
33.2803	27.3101	
15.9201	35.7277	
72.7661	16.6036	
37.378	28.613	
31.891	27.4663	
52.3462	23.6453	
70.2972	63.7641	
35.6926	50.6876	
40.0895	57.899	
53.948	39.3197	
38.7603	27.4561	
36.8375	29.777	
86.4983	17.6366	
90.1452	15.442	
67.8008	61.1601	
43.8659	11.8254	
48.1204	35.0281	
89.5456	23.2322	
77.6136	9.4811	
69.9915	30.0513	
39.3182	38.206	
27.8514	37.2904	
90.1223	68.2884	
58.4579	18.6251	
59.8193	5.2065	
115.053	40.2493	
34.2629	101.3239	
78.4972	7.778	
47.261	18.6575	
87.5249	52.5154	
96.2135	26.0324	
37.8181	28.208	
83.296	34.8331	
57.5895	101.3093	
129.1387	103.2509	
63.74	19.2258	
36.3308	23.8877	
69.0059	24.7484	
20.4433	36.8544	
62.0276	36.6228	
26.2366	48.6169	
24.9533	37.5682	
	50.6594	
	50.9904	
	37.3384	
	47.3299	
	71.2651	
	44.9132	
	35.642	
	18.611	
	64.0189	
	63.2884	
	59.5328	
	57.2943	
	68.1003	
	54.5144	
	36.062	
	41.5615	
	17.8054	
	23.3293	
	22.7419	
	29.9597	
	24.3563	
	32.0908	
	44.0679	
	27.3883	
	10.5218	
	9.809	
	36.4142	
	32.8354	
	36.4881	
	34.286	
	17.8738	
	19.0055	
	9.5733	
	17.9915	
	8.7954	
	23.8105	
	17.9313	
	9.8917	
	15.9495	
	14.44	
	19.1782	
	55.9513	
	35.3191	
	29.7549	
	34.4412	
	78.2922	
	6.4816	
	42.8107	
	22.1767	

