mouse6c	mouse6d	mouse1k
176.047	155.8742	152.3477
167.4228	122.568	140.2927
168.0886	162.4335	155.3783
164.568	166.8544	157.0003
176.7816	165.5305	150.2162
161.1715	166.6075	143.8184
183.1555	180.2065	160.6025
169.33	145.4935	156.3054
165.3334	158.9459	164.2358
169.5302	145.794	115.4192
169.1257	159.8091	136.548
181.4205	154.4781	146.2739
182.1228	182.4718	159.6869
174.7899	164.0636	132.8223
162.8775	179.8094	151.6522
153.7277	176.3224	162.1047
171.3908	170.6528	126.7522
193.2975	139.3809	127.6399
184.2244	171.0779	120.5898
173.1894	175.1491	144.9799
161.8305	161.3205	150.2883
166.7488	166.59	154.8356
177.0965	154.3874	127.1444
152.7463	161.2626	165.2171
176.6832	164.7782	161.5184
181.9767	153.3165	161.9636
165.8357	178.1947	142.1677
164.506	180.4189	140.4551
159.1016	150.9035	138.2895
164.624	131.5458	155.5268
182.089	167.9671	151.4643
175.7933	134.3829	149.358
174.728	127.6338	161.6928
170.0729	158.3621	136.3234
168.8211	155.2566	135.7751
170.5845	160.4861	142.1545
161.1297	164.7753	153.8747
171.6193	174.7401	149.0858
172.5535	132.3768	150.3727
167.6938	151.9053	165.1914
178.1259	156.8635	165.4261
164.2447	146.8901	137.0976
178.7358	185.7241	156.0614
173.1973	162.1129	143.4863
185.364	182.8278	135.033
168.2588	105.7823	148.4069
181.7533	160.3164	119.3077
185.6111	170.3153	156.7146
163.419	164.3261	172.2634
178.9123	152.5175	161.8775
165.2888	150.2229	153.115
171.4013	175.5914	160.3142
177.4841	166.2351	147.2124
159.1224	157.6346	169.4481
148.7943	158.8921	129.2549
181.9803	170.2753	133.4479
169.0164	172.4208	157.0351
175.5151	161.116	156.9224
166.0203	137.7535	163.7139
170.0364	182.3061	145.5765
171.2216	133.7353	158.8015
176.7815	165.527	145.9698
155.4213	166.5685	160.8612
172.9298	166.4072	163.2582
167.3427	161.6741	155.1008
174.5571	92.3931	150.4217
160.0251	157.5186	162.9285
171.2733	137.0837	167.4961
175.4239	160.1131	167.4948
177.7669	161.531	127.1669
166.4136	168.0028	160.1572
175.0181	151.014	164.7997
182.406	168.0252	147.4344
159.9259	174.8779	157.7764
180.1394	129.9579	165.4656
163.2254	174.599	157.9788
167.0053	142.3627	155.9819
179.3217	108.0376	126.4363
161.5832	167.667	156.3712
172.4164	128.266	157.0632
170.4908	157.3416	136.2295
168.9414	165.7562	161.1795
176.0425	151.8197	137.7826
193.218	180.2829	134.2039
185.9539	168.3944	147.3614
182.6791	189.0929	154.4259
178.5516	170.1587	166.1366
189.0292	178.004	161.9529
178.3727	175.32	145.3216
203.669	187.1293	156.0198
197.3788	178.4948	137.9258
185.8057	171.7761	157.3961
173.9921	175.4009	151.5335
137.2549	169.4921	160.5772
186.3216	177.0709	174.0237
172.6142	151.0269	162.5409
181.2583	196.4317	152.8299
163.963	162.7825	146.4176
168.285	163.0792	145.6491
181.8816	181.4022	135.4879
184.2446	166.7848	151.0866
186.7852	172.1109	136.2052
193.0181	169.9746	135.577
174.2028	182.0347	141.5442
187.4479	159.354	138.7164
168.0356	162.686	146.3148
172.6427	175.3645	147.5512
185.0372	178.3012	146.7785
170.2058	172.3913	137.5941
171.8313	171.9662	127.9166
186.7433	165.298	143.8406
179.8705	172.3406	153.374
178.8119	169.2282	138.1422
171.8454	166.0475	112.6089
180.0852	188.2348	165.914
156.8561	180.8251	137.8695
170.8314	174.2552	146.5143
169.5417	182.2387	145.8082
160.2525	173.727	123.9553
182.7581	168.2294	158.9784
182.8285	168.6818	75.0665
163.674	172.4961	153.0044
147.3587	176.863	130.057
182.9356	174.2149	156.6228
190.8664	164.8371	103.3974
176.0344	181.5109	147.5859
164.4691	147.6915	131.3558
171.3947	174.9455	153.023
166.4366	139.7626	171.1404
192.8785	173.0737	139.1448
184.2213	174.3344	144.0844
181.6572	175.5511	144.2834
175.7475	165.4451	126.2024
181.7239	184.5459	152.3716
182.6561	174.1339	162.9496
186.1529	166.067	118.5294
170.4938	177.8993	165.712
178.0868	189.2843	172.4669
183.4026	105.2955	157.5901
186.3582	163.7406	134.0899
171.43	168.9489	121.4789
182.9486	181.6255	71.5014
180.7318	190.0599	132.7111
149.8981	172.9232	148.944
184.2298	172.5216	142.2451
183.2664	154.6374	143.0288
181.779	184.1101	99.2117
160.5865	149.3	109.1293
184.0661	177.1096	148.3436
173.1015	178.4474	148.8496
154.1215	178.4246	155.2585
185.3286	162.3519	140.6334
146.7359	175.4962	137.6266
182.5425	173.7469	147.8432
173.4696	177.42	165.1235
185.1239	177.3044	147.9177
175.0038	149.4573	133.5372
183.2092	160.4573	154.5544
178.9562	144.6229	163.2652
140.429	126.3504	143.5528
187.5685	166.3212	155.2671
183.9287	138.6069	148.4536
145.7665	148.5202	124.1549
168.839	173.228	146.1938
160.1754	188.0817	144.6215
188.7106	175.0857	136.5273
127.6405	172.958	152.7561
177.6335	140.7465	159.4072
180.8012	173.7518	94.2049
150.1594	180.7717	100.5336
151.8759	167.3131	140.6099
162.0969	129.8405	155.4681
157.4381	163.8306	97.0964
155.3785	180.6805	111.1561
174.203	165.3253	153.2201
181.9226	175.8407	115.4482
164.968	163.3381	156.2529
184.3689	177.2872	153.0724
180.9015	184.9933	143.5838
173.6473	169.7783	158.3475
180.5098	174.8979	135.638
152.1049	176.1098	150.0741
180.9512	173.1837	127.3228
193.183	154.3863	155.9507
179.2827	174.6005	137.6899
188.4379	171.8858	119.5692
180.6113	179.0749	107.1844
178.1151	187.3123	158.2717
174.3486	183.8361	144.8479
190.3316	166.3934	152.2309
182.6543	163.704	99.487
189.9141	132.9911	138.6621
175.7785	178.5589	95.4468
171.9588	186.6753	124.75
172.6333	181.5924	135.8991
180.6452	159.5056	154.0894
177.118	169.5369	135.0519
174.7519	151.7013	147.0454
181.7076	165.3996	135.2171
170.3894	173.3946	117.5318
172.6956	184.0866	127.5353
169.0377	185.1419	110.1568
167.9253	174.7658	153.2097
147.2074	167.1535	142.2741
182.2005	149.2504	139.1792
168.1593	162.7327	156.9079
176.7431	169.5122	154.2663
173.1706	177.2212	146.483
165.966	170.2595	155.2052
175.9252	173.6989	147.5381
169.9179	169.1432	160.9696
179.4765	178.3118	159.3976
188.8681	183.9741	135.3201
181.9565	150.2184	147.3537
173.4302	162.7075	139.8272
193.5947	169.256	153.1647
158.2953	168.3392	150.0955
191.0716	182.1472	145.3662
176.7703	168.0413	154.4148
187.3788	168.6218	138.5669
185.3422	157.0062	142.3374
180.3534	169.6933	155.4419
178.3709	168.1846	125.435
187.0167	169.3	139.2864
192.3503	163.9496	172.6483
164.7831	174.159	140.817
177.7412	162.0259	129.6332
184.0857	168.7559	133.898
183.6722	155.0646	130.2639
194.9781	168.9947	130.7545
174.8464	162.0564	134.6207
170.1143	163.6356	152.8104
188.5493	130.8566	157.0828
181.9017	167.6036	167.413
188.761	172.0404	163.3075
175.5978	166.6308	157.7111
182.2779	188.7514	157.4855
166.9248	172.9039	161.2873
188.7791	185.2528	172.7222
176.6904	173.5122	175.1644
172.7898	168.8134	132.7848
176.9552	180.3753	167.6891
179.6616	148.1892	138.8477
173.4197	187.3321	108.3914
191.3184	159.3618	163.4594
145.4938	169.4619	144.3733
183.9696	171.3717	139.2843
180.2457	166.2785	156.311
177.6081	178.2902	163.0808
181.0853	174.1818	145.0531
181.5406	165.0964	171.359
185.7009	172.7512	145.3463
172.1638	186.3049	145.6965
155.0005	185.9792	164.2053
158.0261	180.4775	156.1943
169.7561	164.737	164.6841
172.9521	155.1171	137.3163
182.7934	167.6394	155.4849
