eso18mouse1d	eso18mouse1e	ear18mouse1d	ear18mouse1e	ear18mouse1f	paw18mouse1d	paw18mouse1e	paw18mouse1f	backkm2421mouse1	backkm2421mouse0	backkm2421mouse7	backkm2421mouse6	is18mouse1e	is18mouse1f	sca18mouse1e	sca18mouse1f
0.2483	2.2694	3.086	9.4284	5.5906	0.6559	2.3016	1.9176	797.4802805	1077.378929	3196.760609	1848.678356	9.5102	2.2078	18.5292	2.6457
0.04181	0.3282	1.7415	11.2156	9.1563	1.284	0.3786	5.9105	1711.046512	1475.793731	4273.499333	4123.805635	15.9084	4.9007	20.8886	3.4559
0.2578	0.1828	1.5751	6.7017	6.4494	0.7093	1.0157	6.6399	2039.040452	1240.0818	936.5970655	2850.763547	8.1469	2.7821	22.6815	4.282
3.259	1.1531	1.1288	9.7035	6.5288	2.7722	0.68	4.955	1078.15008	1045.439469	1722.908427	1707.628149	19.4516	7.7111	19.4546	1.9988
0.7499	1.1151	2.4168	7.068	15.8752	1.2941	2.9538	8.3367	946.50903	466.5145985	1507.242424	1185.687771	14.9361	4.4157	18.2647	5.8695
0.06052	0.8888	3.2465	7.5894	19.8173	2.1305	8.6927	3.2913	742.2886691	437.2063834	1474.209246	1339.404035	27.6154	1.6933	20.2131	3.824
0.1189	0.9545	2.2574	10.9984	8.3181	2.2905	6.5147	7.0478	619.2164179	1318.592058	869.0169492	1223.489933	12.0805	3.9412	19.5128	3.9894
1.8599	0.1028	3.7894	4.7233	9.6221	0.3935	3.134	4.9706	559.4403832	1318.59985	1436.919505	1654.324097	8.9875	1.1465	18.4215	1.9931
0.1561	0.1366	1.1449	11.248	6.1976	1.4925	3.2524	3.932	456.7503792	3009.537037	1492.151118	1515.296496	15.2203	5.9125	19.9622	4.2291
0.6764	0.1171	3.536	3.8451	12.057	0.7281	0.275	2.8325	582.9362716	3358.896066	885.154827	3152.098601	19.5025	0.3146	17.9172	1.8495
1.644	0.1908	2.4097	6.7239	10.3846	3.9729	2.5868	4.6934	1009.175789	1905.196078	1405.091895	977.917505	11.8549	3.111	17.7047	4.953
0.6068	0.0234	1.5019	4.8555	7.3559	6.6051	0.9038	2.8425	485.6775521	799.8879175	1472.116542	2177.105978	18.4933	1.7763	15.6245	1.0187
1.8087	0.2583	2.7853	24.0523	8.9584	1.1979	2.0919	9.1168	261.5366146	1436.151216	1738.651838	1082.255702	32.5541	6.4698	19.1365	9.4234
0.3122	0.1169	1.9927	8.7592	7.7147	0.7513	7.6923	5.7335	247.1389066	2102.123823	2375.691093	1011.421988	22.7815	1.2285	18.2572	3.5711
3.2763	0.1151	2.6884	12.7986	6.495	3.0725	2.8331	6.2306	536.4708714	2230.998563	1554.077735	712.4441798	9.0822	0.2989	21.8154	1.0686
0.5787	1.1981	2.5267	9.1857	9.2176	0.5574	5.7879	4.4623	683.9962121	2397.888415	661.5319688	1514.229637	21.5195	2.0187	23.102	3.1413
0.7144	0.4477	2.35	8.384	14.1771	4.8121	4.2005	6.1159	341.0037879	1542.171776	3767.867166	3073.426937	21.5868	4.773	19.2045	4.6325
0.1846	0.5587	1.6681	7.341	7.9175	1.4451	1.4342	3.3692	492.4920518	1530.956017	1495.002426	1480.861874	12.0344	1.7137	20.1678	1.8134
2.8653	0.05778	2.5131	13.9463	10.9624	4.7342	3.6767	2.5208	476.040404	961.5609349	1292.490454	1795.562436	19.8995	3.459	21.3628	4.5275
0.6579	0.182	3.2122	10.5228	14.1635	2.5846	3.3238	1.8376	446.0578323	925.1262808	1581.968743	1464.826809	10.9713	0.9498	17.1606	2.2118
0.9285	0.524	2.1559	11.1887	11.2893	2.0843	0.2114	4.0027	1944.595839	4570.752566	1442.593994	813.0699088	22.2334	7.577	19.8088	3.5578
0.141	0.3516	2.0412	12.9561	26.0685	0.3867	5.0612	4.4222	1471.930654	1052.750623	1450.076369	1043.511008	20.9545	0.7146	19.9663	9.2554
1.634	0.6755	1.5946	12.2032	62.5739	0.902	5.3506	2.8657	1449.837955	693.7552743	1504.477612	778.7664871	9.0047	2.8913	23.1494	3.5155
1.2397	1.0357	2.6638	13.4405	12.4874	3.9785	4.4311	3.7585	4297.956522	607.5456223	1358.546206	1543.364868	12.3866	5.9586	19.6228	2.0006
1.0588	0.07684	2.6959	13.2993	10.9173	3.4561	0.7657	5.2136	3156.009144	897.128687	1137.703326	567.5151129	21.691	2.2577	20.9073	8.5671
0.8613	0.1384	5.4869	10.3164	9.2046	2.0124	3.5622	1.6927	5013.134691	582.9477292	942.9495913	2409.270032	33.7418	0.7917	20.1097	1.0583
