mouse6c	mouse6d	mouse1k
91.1941	139.0176	117.8141
120.429	134.1423	97.9655
131.0669	145.342	114.9443
98.8026	89.7688	117.958
83.3932	71.1272	116.1061
122.7412	148.5048	122.3929
114.8273	123.1151	108.1743
173.0384	97.982	70.8423
98.7007	102.6659	124.2845
113.2406	122.5259	96.643
94.9225	115.3851	87.6813
112.5726	145.0415	130.9671
106.4238	89.3078	95.279
123.4	143.9553	94.6899
82.8451	115.6854	45.3753
60.9101	145.4783	70.2141
153.8869	128.9157	96.1423
97.2356	132.8382	112.9552
121.8724	120.727	104.1273
110.7061	124.6829	104.0757
138.4351	136.2417	120.3814
70.8656	126.4994	59.1098
114.6396	140.4802	111.1563
125.7298	109.5535	120.7182
92.9612	135.0877	180.8874
81.8567	121.7081	146.3677
120.7418	133.5609	138.105
99.3294	122.8947	69.2772
78.0751	154.0997	113.3145
130.7082	70.189	155.9923
131.7085	121.2688	151.9418
113.0768	134.6534	117.6538
129.3321	106.6961	138.1098
115.9881	91.9301	150.9825
59.4248	134.2252	155.8405
135.1197	104.2645	150.2654
120.8791	125.7251	124.2024
134.8766	111.1128	132.071
122.3952	127.4738	127.7648
107.7137	113.5727	126.9154
111.1489	97.3114	142.5787
100.2984	89.7325	124.6181
111.1329	60.3274	132.6195
107.3776	105.6166	92.8047
112.8546	114.7802	141.2068
135.9404	89.2024	133.7186
158.062	106.5746	159.3622
85.4798	147.2862	121.3995
116.6851	121.5221	139.663
106.8081	89.8298	159.6455
115.6295	109.9652	113.6484
92.166	111.2983	151.8719
98.9765	125.1095	145.173
92.8367	95.0616	124.4032
84.8967	67.9827	130.8671
84.1533	40.1013	166.7469
128.6705	114.4125	141.1018
105.5849	125.443	163.9691
115.3659	25.221	152.5001
129.8932	77.9544	140.6102
93.056	98.1918	164.0167
99.9651	106.815	72.7106
129.7839	25.2529	155.2128
133.169	99.4199	164.0298
113.5084	84.3039	138.6127
125.5864	26.1558	152.3626
130.3476	103.5516	123.2988
121.1863	100.0221	157.6031
112.4814	121.8908	117.6056
110.7421	88.9731	125.8657
132.6011	102.4583	112.1462
107.4277	66.0317	108.5113
131.7846	92.6309	157.74
91.7653	50.1736	147.0625
150.1834	108.4434	147.657
135.3672	100.438	143.2484
105.3295	93.4868	133.6235
147.7348	112.8523	102.1377
101.4528	97.7193	147.6983
142.1422	73.6741	179.5558
92.1687	31.6043	166.8175
111.057	126.0881	151.8639
58.5471	136.5907	122.6849
107.7153	112.8402	122.7464
114.691	135.162	129.8237
114.4654	114.0169	149.1678
81.2656	93.0998	78.8623
49.9853	30.2644	160.2745
111.6048	111.3464	170.155
129.6994	107.2684	159.2719
78.7389	94.5093	109.3313
114.4506	103.7395	90.638
114.9225	116.3311	100.2167
97.965	127.8643	177.651
127.3312	100.2032	138.6839
119.3553	129.2508	102.5042
141.0616	72.5709	159.7493
109.8232	104.7247	131.4228
114.7465	95.7981	167.5344
91.7608	29.8836	120.0298
124.7065	110.5042	171.0704
112.4688	109.5507	148.734
110.9318	129.7555	130.6282
131.8278	109.0283	143.7807
156.8239	91.959	157.6874
85.5253	110.9886	156.6993
104.9086	63.3178	162.1042
98.7582	91.1104	106.4268
110.0814	113.1776	148.8037
140.281	103.1739	147.7728
126.0834	120.3139	55.8122
89.3718	99.7663	66.5085
116.0574	38.0618	91.2621
89.5914	112.7645	122.8294
104.8821	107.0992	133.7616
91.904	109.8131	135.7572
136.5061	103.687	62.7156
144.9646	98.3065	76.5611
112.1277	108.6176	146.3281
155.1774	107.8881	135.7171
141.9672	45.7845	99.117
87.4096	88.0912	60.697
141.0868	26.7649	45.2978
40.334	95.1606	126.726
77.3357	90.5187	127.2477
47.4405	110.4226	127.4568
143.6608	87.732	139.253
129.3988	85.8336	74.0675
160.5405	97.3811	60.9125
122.8247	80.4634	52.5953
126.8657	103.819	54.6665
